analysis_set,contrast_type,effect,contrast,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,posterior_tail_p
primary_manipulation_pass,risky_prob,Time Pressure,TP - No TP,0.4918817116501269,0.4798779435711114,0.012003768079015507,0.005717270747584666,0.018270032449621304,FALSE,Above 0,1,0
primary_manipulation_pass,risky_prob,Choice Frame,Accept - Reject,0.4715029619242202,0.5001215523552569,-0.028618590431036758,-0.03486934997746962,-0.022187835058522988,FALSE,Below 0,0,0
primary_manipulation_pass,risky_prob,Feedback,Full - Partial,0.5034280162485979,0.4642195071859547,0.039208509062643206,0.03210796205993539,0.04618925048244979,FALSE,Above 0,1,0
primary_manipulation_pass,alpha_effect,Time Pressure,TP - No TP,-0.4877014652324108,0,-0.4877014652324108,-1.2629403355855966,0.29045192812522325,TRUE,Crosses 0,0.10916666666666666,0.21833333333333332
primary_manipulation_pass,alpha_effect,Choice Frame,Accept - Reject,0.6177619048333441,0,0.6177619048333441,-0.18906182531996424,1.440060466816715,TRUE,Crosses 0,0.9308333333333333,0.13833333333333342
primary_manipulation_pass,beta_effect,Time Pressure,TP - No TP,-0.0065354859010987535,0,-0.0065354859010987535,-0.8272094339315785,0.8284689214623149,TRUE,Crosses 0,0.4891666666666667,0.9783333333333334
primary_manipulation_pass,beta_effect,Choice Frame,Accept - Reject,-0.02792107523960331,0,-0.02792107523960331,-0.8388599653506813,0.7911863554383195,TRUE,Crosses 0,0.475,0.95
primary_manipulation_pass,gamma_effect,Time Pressure,TP - No TP,0.03473111009788966,0,0.03473111009788966,-0.0833760007251879,0.1503118143842891,TRUE,Crosses 0,0.7258333333333333,0.5483333333333333
primary_manipulation_pass,gamma_effect,Choice Frame,Accept - Reject,-0.12105250337296712,0,-0.12105250337296712,-0.24306044756981904,-0.0059769679696427954,FALSE,Below 0,0.013333333333333334,0.02666666666666667
sensitivity_fullsample,risky_prob,Time Pressure,TP - No TP,0.49313591705986287,0.48018511025719796,0.012950806802664909,0.008066521626395528,0.01782917317716363,FALSE,Above 0,1,0
sensitivity_fullsample,risky_prob,Choice Frame,Accept - Reject,0.47389407670059885,0.49854204677219116,-0.02464797007159235,-0.02946290437407879,-0.019917003270644395,FALSE,Below 0,0,0
sensitivity_fullsample,risky_prob,Feedback,Full - Partial,0.505553150032514,0.46393591358602326,0.04161723644649067,0.03584399558115536,0.04704398283556181,FALSE,Above 0,1,0
sensitivity_fullsample,alpha_effect,Time Pressure,TP - No TP,-0.643611067276443,0,-0.643611067276443,-1.3664856689550706,0.07039432684953868,TRUE,Crosses 0,0.05,0.1
sensitivity_fullsample,alpha_effect,Choice Frame,Accept - Reject,0.5465839449294342,0,0.5465839449294342,-0.21933300989190138,1.294226650100635,TRUE,Crosses 0,0.915,0.16999999999999993
sensitivity_fullsample,beta_effect,Time Pressure,TP - No TP,0.014487697750884189,0,0.014487697750884189,-0.792154439738788,0.7681756985606144,TRUE,Crosses 0,0.5208333333333334,0.9583333333333333
sensitivity_fullsample,beta_effect,Choice Frame,Accept - Reject,0.0244962469555816,0,0.0244962469555816,-0.800965747388586,0.8497711352141998,TRUE,Crosses 0,0.5208333333333334,0.9583333333333333
sensitivity_fullsample,gamma_effect,Time Pressure,TP - No TP,0.2247413783006492,0,0.2247413783006492,0.13055184267121384,0.3192374960655804,FALSE,Above 0,1,0
sensitivity_fullsample,gamma_effect,Choice Frame,Accept - Reject,-0.07263095898385398,0,-0.07263095898385398,-0.1663392548939786,0.022967579640523417,TRUE,Crosses 0,0.07166666666666667,0.14333333333333334
