model,AIC,BIC,logLik,nobs,delta_AIC,delta_BIC
"Paper V + RU + VTU, + previous choice",10008.843020694634,10068.259527538534,-4996.421510347317,12420,0,0
"Paper V + RU + VTU, no previous choice",10710.184210839161,10754.746590972087,-5349.092105419581,12420,701.341190144527,686.487063433553
