model_id,model_label,n_tasks,total_obs,top1_weighted,top1_unweighted
user_risky_uncertainty_prev_conditional,User risky uncertainty GLMM + previous risky choice (conditional),8,18876,0.6373702055520237,0.6403414694280078
user_risky_uncertainty_prev_fixed,User risky uncertainty GLMM + previous risky choice (fixed effects only),8,18876,0.5620894257257893,0.5658583403775711
