model,AIC,BIC,logLik,nobs,delta_AIC,delta_BIC
"User risky uncertainty GLMM, + previous risky choice",24259.070306049776,24431.674530212393,-12107.535153024888,18876,0,0
"User risky uncertainty GLMM, no previous choice",25007.93513703743,25164.848068094358,-12483.967568518716,18876,748.8648309876553,733.1735378819649
