cluster,n,previous_choice_effect,value_sensitivity,uncertainty_sensitivity,frame_bias,tp_effect,switch_tendency,win_stay_tendency,lose_shift_tendency,cluster_method,selected_k
1,75,0.002851086328680563,0.35895103641715825,-7.258177624895653,-0.03725308671904231,0.04770811224149095,0.49025641025641026,0.2873504273504274,0.2876068376068376,mclust_gaussian_mixture,3
2,44,0.17784122423746002,0.6435913165973812,2.0229521306775693,-0.040724610341263144,-0.03602971166121986,0.38650932400932403,0.3586829836829837,0.23732517482517482,mclust_gaussian_mixture,3
3,2,6.576238476726924,-0.29218697215160794,89.41152930744092,-2.0575521280173965,503.03363977248415,0.125,0.41025641025641024,0.05448717948717949,mclust_gaussian_mixture,3
