model,term,estimate,std_error,statistic,p_value,conf_low,conf_high,ci_crosses_zero
full_feedback_counterfactual_regret,(Intercept),-0.18253439747467742,0.08445742210919804,-2.161259400490251,0.030675307214081956,-0.3480709448087056,-0.01699785014064925,FALSE
full_feedback_counterfactual_regret,regret_binary,0.40827004151818574,0.13704469973328903,2.9791012882128585,0.002890951969569103,0.13966243004093926,0.6768776529954322,FALSE
full_feedback_counterfactual_regret,regret_magnitude_z,-0.0077106366809773065,0.06634600585313052,-0.11621855124250079,0.9074793346127314,-0.13774880815311313,0.12232753479115853,TRUE
full_feedback_counterfactual_regret,pressuretp,-0.07415166081741408,0.036380902271706816,-2.0382029083176785,0.04152964477959017,-0.14545822926995944,-0.002845092364868712,FALSE
full_feedback_counterfactual_regret,frameaccept,-0.05022265041067126,0.03637492298238964,-1.3806943436000068,0.1673729612234533,-0.12151749945615495,0.021072198634812432,TRUE
full_feedback_counterfactual_regret,regret_binary:pressuretp,-0.01745058041085551,0.05119042177190878,-0.340895421581224,0.7331823116519038,-0.11778380708379671,0.08288264626208569,TRUE
full_feedback_counterfactual_regret,regret_binary:frameaccept,0.08861117041487317,0.05118875746886393,1.7310670310521172,0.08343980974716089,-0.011718794224100132,0.18894113505384647,TRUE
partial_feedback_chosen_outcome,(Intercept),-0.11259296409880634,0.05646391579036141,-1.9940693542552066,0.04614447576227873,-0.2232622390479147,-0.0019236891496979824,FALSE
partial_feedback_chosen_outcome,chosen_win_partial,-0.28664175142897275,0.05166921125535944,-5.547631644933239,2.8956512262801692e-8,-0.3879134054894773,-0.18537009736846824,FALSE
partial_feedback_chosen_outcome,regret_magnitude_z,0.05899914044001967,0.015439140591814147,3.8214005558898205,1.3269592134013816e-4,0.028738424880063944,0.08925985599997541,FALSE
partial_feedback_chosen_outcome,pressuretp,-0.11666629084788094,0.03949384759090605,-2.95403709601454,0.0031364630132601086,-0.1940742321260568,-0.03925834956970507,FALSE
partial_feedback_chosen_outcome,frameaccept,0.1433101490271233,0.03979023997701435,3.6016407317450048,3.162151657759259e-4,0.06532127867217517,0.22129901938207142,FALSE
partial_feedback_chosen_outcome,chosen_win_partial:pressuretp,0.054475529172110605,0.058272536672158044,0.9348405318030096,0.3498704879113427,-0.059738642705319166,0.16868970104954037,TRUE
partial_feedback_chosen_outcome,chosen_win_partial:frameaccept,-0.281514249746113,0.05907942104708125,-4.765013684236516,1.8884083304131898e-6,-0.39730991499839224,-0.16571858449383375,FALSE
