BIC
-2629.8631317061963
-2549.8171180259715
-2505.829027019055
-2412.8217800115194
-2230.21234620144
-2095.1006213256787
-2643.033634870858
-2553.985518205585
-2515.4997787300067
-1315.8678649548006
-1209.8416226493987
-1004.9056717926799
-1434.3665672929928
-1373.7427202109195
-1396.7383866574996
-1196.1875820301027
-1115.0310986107318
-896.8421107731068
-1777.3875679391672
-1736.2661146820165
-1768.612348343933
-667.0135850148774
-659.1301494093692
-752.5431764775557
-652.1413524240061
-590.5275062014907
-688.3893361277145
