model,term,estimate,std_error,statistic,p_value,conf_low,conf_high,ci_crosses_zero
phase_uncertainty,(Intercept),-0.22924088979552065,0.03725814044966627,-6.1527732471032115,7.613963067886449e-10,-0.3022668450768665,-0.15621493451417476,FALSE
phase_uncertainty,prev_risky_c,0.1392526551136059,0.019256294395523958,7.23153958146665,4.775488624868838e-13,0.10151031809837895,0.17699499212883285,FALSE
phase_uncertainty,phasemiddle,0.12112426293939042,0.037204155713173766,3.2556648744618886,0.0011312719280496862,0.04820411774156984,0.19404440813721102,FALSE
phase_uncertainty,phaselate,-0.0036798147337414127,0.037374923787646556,-0.09845678227062213,0.9215695879175128,-0.07693466535752867,0.06957503589004584,TRUE
phase_uncertainty,feedback_typefull,-0.07173639949506438,0.13410425781117588,-0.5349300660988116,0.5926982169149966,-0.33458074480496913,0.19110794581484036,TRUE
phase_uncertainty,RU_risky_z,0.25292773799871643,0.02564393933732715,9.863061001339856,6.018602763058556e-23,0.20266561689755522,0.3031898590998776,FALSE
phase_uncertainty,V_risky_z,0.3233984469713423,0.027633642324949196,11.703069872890412,1.2292454419766738e-31,0.2692365080144419,0.3775603859282427,FALSE
phase_uncertainty,pressuretp,0.015545412098882844,0.018631609844931497,0.8343568928431477,0.4040799009224839,-0.020972543197182888,0.05206336739494857,TRUE
phase_uncertainty,frameaccept,-0.053521617884242284,0.0186702747461205,-2.8666754299030095,0.004148081877092866,-0.09011535638663846,-0.016927879381846103,FALSE
phase_uncertainty,phasemiddle:feedback_typefull,-0.537982406488759,0.7008677353961524,-0.767594767627125,0.4427279719355153,-1.9116831678652177,0.8357183548876997,TRUE
phase_uncertainty,phaselate:feedback_typefull,-2.8694236687942056,2.0209750884726128,-1.4198213947124023,0.1556596846937249,-6.830534842200526,1.0916875046121155,TRUE
phase_uncertainty,phasemiddle:RU_risky_z,0.05272224174375241,0.057252443596064975,0.9208732140015778,0.3571166248172701,-0.05949254770453494,0.16493703119203976,TRUE
phase_uncertainty,phaselate:RU_risky_z,0.11658282402687022,0.08569480610437721,1.3604421239353883,0.1736900560194284,-0.05137899593770913,0.2845446439914496,TRUE
phase_uncertainty,feedback_typefull:RU_risky_z,-5.5176945504264765,3.2207825165455803,-1.7131534097944705,0.08668432031102058,-11.830428282855813,0.7950391820028608,TRUE
phase_uncertainty,phasemiddle:V_risky_z,0.2660319277548357,0.04941287409491263,5.383858612309001,7.290577900502863e-8,0.16918269452880697,0.3628811609808644,FALSE
phase_uncertainty,phaselate:V_risky_z,0.3138673599109625,0.0619057150987743,5.070086976786686,3.97633941688714e-7,0.19253215831736487,0.4352025615045601,FALSE
phase_uncertainty,phasemiddle:feedback_typefull:RU_risky_z,-10.099867631966541,14.001008384133815,-0.7213671583406726,0.4706836471440645,-37.54184406486882,17.342108800935733,TRUE
phase_uncertainty,phaselate:feedback_typefull:RU_risky_z,-54.33630666386182,37.72741386089046,-1.4402340659821562,0.14980118829682956,-128.2820378312071,19.60942450348348,TRUE
