feedback_type,prev_outcome_type,n,switch_rate,conf_low,conf_high
partial,chosen_loss,4378,0.46825034262220194,0.4534691031183633,0.4830315821260406
partial,chosen_win,4358,0.30977512620468106,0.29604637506384385,0.3235038773455183
full,regret_loss,5129,0.577305517644765,0.5637861659692414,0.5908248693202887
full,relative_win,5011,0.41249251646377966,0.3988621162287397,0.42612291669881963
