model,term,estimate,std_error,statistic,p_value,conf_low,conf_high,ci_crosses_zero,section,component,label
controlled_risky_choice,(Intercept),-0.17759613629851578,0.0246463511833943,-7.205778047103896,5.771334617613289e-13,-0.2259029846179686,-0.12928928797906297,FALSE,all_coefficients,NA,NA
controlled_risky_choice,prev_risky_c,0.20411449235397786,0.06324840170716205,3.2271881477578046,0.0012501322867027446,0.08014762500794025,0.32808135970001545,FALSE,all_coefficients,NA,NA
controlled_risky_choice,V_risky_z,0.46587868636546814,0.045122167497018986,10.32482950638944,5.4415390907856135e-25,0.3774392380713109,0.5543181346596253,FALSE,all_coefficients,NA,NA
controlled_risky_choice,feedback_typefull,-0.19421223070888186,0.13723701438140803,-1.4151592526570764,0.1570218085812343,-0.4631967788964416,0.07477231747867788,TRUE,all_coefficients,NA,NA
controlled_risky_choice,RU_risky_z,0.3890716771215817,0.039168845102819656,9.93319246713183,2.985410949932346e-23,0.3123007407200552,0.4658426135231082,FALSE,all_coefficients,NA,NA
controlled_risky_choice,VTU_risky_z,-0.02322718690501226,0.0233359679800902,-0.9953384802734239,0.31957166842231544,-0.06896568414598905,0.02251131033596453,TRUE,all_coefficients,NA,NA
controlled_risky_choice,frameaccept,-0.053326884343560324,0.019086267569325625,-2.7939922852839123,0.0052061720663336905,-0.09073596877943854,-0.0159177999076821,FALSE,all_coefficients,NA,NA
controlled_risky_choice,pressuretp,0.016497452918348803,0.01900341399240368,0.8681310066150958,0.3853226185274461,-0.020749238506762413,0.05374414434346002,TRUE,all_coefficients,NA,NA
controlled_risky_choice,V_risky_z:feedback_typefull,-0.19166979367550388,0.11317933428287548,-1.6935052223973397,0.09035934165423144,-0.4135012888699398,0.03016170151893205,TRUE,all_coefficients,NA,NA
controlled_risky_choice,feedback_typefull:RU_risky_z,-8.083515817161386,2.6264911772723836,-3.0776862633729207,0.002086144197626649,-13.231438524615257,-2.935593109707514,FALSE,all_coefficients,NA,NA
controlled_risky_choice,feedback_typefull:VTU_risky_z,0.052360473386675814,0.04665187729502536,1.1223658386896078,0.2617069230828692,-0.039077206111573885,0.1437981528849255,TRUE,all_coefficients,NA,NA
controlled_risky_choice,Previous risky choice,0.20411449235397786,0.06324840170716205,3.2271881477578046,0.0012501322867027446,0.08014762500794025,0.32808135970001545,FALSE,key_effects,stickiness control,Previous risky choice
controlled_risky_choice,Full - Partial,-0.19421223070888186,0.13723701438140803,-1.4151592526570764,0.1570218085812343,-0.4631967788964416,0.07477231747867788,TRUE,key_effects,risky-choice bias,Full - Partial
controlled_risky_choice,Full - Partial,-8.083515817161386,2.6264911772723836,-3.0776862633729207,0.002086144197626649,-13.231438524615257,-2.935593109707514,FALSE,key_effects,relative uncertainty slope,Full - Partial
controlled_risky_choice,Full - Partial,-0.19166979367550388,0.11317933428287548,-1.6935052223973397,0.09035934165423144,-0.4135012888699398,0.03016170151893205,TRUE,key_effects,value slope,Full - Partial
controlled_risky_choice,Full - Partial,0.052360473386675814,0.04665187729502536,1.1223658386896078,0.2617069230828692,-0.039077206111573885,0.1437981528849255,TRUE,key_effects,value/total uncertainty slope,Full - Partial
controlled_risky_choice,Accept - Reject,-0.053326884343560324,0.019086267569325625,-2.7939922852839123,0.0052061720663336905,-0.09073596877943854,-0.0159177999076821,FALSE,key_effects,risky-choice bias,Accept - Reject
controlled_risky_choice,TP - NoTP,0.016497452918348803,0.01900341399240368,0.8681310066150958,0.3853226185274461,-0.020749238506762413,0.05374414434346002,TRUE,key_effects,risky-choice bias,TP - NoTP
