model,term,estimate,std_error,statistic,p_value,conf_low,conf_high,ci_crosses_zero
switch_stay,(Intercept),-0.038888898650333126,0.05438281608683116,-0.7150953453429216,0.4745501299397883,-0.1454792181805222,0.06770142087985595,TRUE
switch_stay,feedback_typefull,-0.16394614577066538,0.07411356151537389,-2.212093743958815,0.02696018830489569,-0.3092087263407982,-0.018683565200532548,FALSE
switch_stay,pressuretp,-0.06796454911051976,0.03971481490753363,-1.7113147642450008,0.08702302228916245,-0.1458055863292857,0.009876488108246165,TRUE
switch_stay,frameaccept,0.033565466039412926,0.03945223914822285,0.850787351088155,0.3948874893322887,-0.043760922691103855,0.11089185476992972,TRUE
switch_stay,prev_outcome_typechosen_win,-0.4540529154035133,0.028642602697546964,-15.852362307926706,1.3539407803430616e-56,-0.5101924166907054,-0.39791341411632125,FALSE
switch_stay,prev_outcome_typeregret_loss,0.42781220825423444,0.02563053243397985,16.691506871978184,1.5110819588507055e-62,0.3775763646836339,0.47804805182483495,FALSE
switch_stay,V_diff_z,-0.020875817005679316,0.03670811297489873,-0.568697634224738,0.569561353590627,-0.09282371843648082,0.0510720844251222,TRUE
switch_stay,RU_diff_z,8.428938299215464e-4,0.03242034749474512,0.0259989141096704,0.9792582045743277,-0.06270098725977889,0.06438677491962198,TRUE
switch_stay,VTU_z,0.06650693300015176,0.01940306840861625,3.427650287034924,6.088292051082803e-4,0.028476918919263905,0.10453694708103961,FALSE
switch_stay,feedback_typefull:pressuretp,0.0011573258931460312,0.05365067544173733,0.021571506483694596,0.9827897627733897,-0.10399799797265913,0.10631264975895119,TRUE
switch_stay,feedback_typefull:frameaccept,-0.025630112110800303,0.053490059074999416,-0.47915654897415316,0.6318272629355263,-0.13047062789779915,0.07921040367619855,TRUE
switch_stay,pressuretp:frameaccept,-0.05993117172070723,0.056528930979614075,-1.0601858319648765,0.289060065396907,-0.17072787644075083,0.05086553299933636,TRUE
switch_stay,feedback_typefull:pressuretp:frameaccept,0.032065940789737055,0.07620768781798778,0.4207704197288128,0.6739227336601359,-0.11730112733351901,0.18143300891299313,TRUE
