task,model,term,Estimate,Std. Error,z value,Pr(>|z|)
FulltickNoTimelimited,M1_glm_linear,(Intercept),0.1477257303208251,0.05621989873354603,2.627641344943906,0.008597911389387128
FulltickNoTimelimited,M1_glm_linear,mu_diff_z,0.20881308901483492,0.047357110078685524,4.409329215146037,1.036912937247014e-5
FulltickNoTimelimited,M1_glm_linear,sd_diff_z,-0.08238239013839561,0.046152058766086926,-1.7850209143634381,0.07425792456267448
FulltickNoTimelimited,M1_glm_linear,prev_left,-0.15600204898432113,0.07914466175417932,-1.9711000783458812,0.04871242978704438
