task,model,term,Estimate,Std. Error,z value,Pr(>|z|)
PartialcrossNoTimelimited,M1_glm_linear,(Intercept),-0.4289095930799609,0.061340905872420026,-6.992227893928224,2.705549160157569e-12
PartialcrossNoTimelimited,M1_glm_linear,mu_diff_z,1.0122218664966152,0.09984062462930117,10.138376740479135,3.7325013915296985e-24
PartialcrossNoTimelimited,M1_glm_linear,sd_diff_z,0.90529631730874,0.0955396879344426,9.475604713403879,2.6522001205680603e-21
PartialcrossNoTimelimited,M1_glm_linear,prev_left,0.611617483153251,0.09201742329034021,6.646757334460781,2.996203936986354e-11
