parameter,condition,mean,q025,q17,q83,q975
Relative Reward,Limited Time,-0.03363572602525912,-0.06493297110950456,-0.04976246656264881,-0.01777559539727268,-0.001040801773517393
Relative Reward,Unlimited Time,0.010438211131813336,-0.024340250527313177,-0.005245457788099339,0.02679260274803665,0.043400749981512915
Relative Uncertainty,Limited Time,0.004096220517849689,-0.027231162225154048,-0.011073213493139023,0.018888549960343753,0.03609343558148933
Relative Uncertainty,Unlimited Time,0.05170758090268393,0.01810604551904233,0.03668434985697961,0.06741802470556556,0.08321830500260634
Total Uncertainty,Limited Time,0.18011446744691137,0.16172809889949447,0.17061351393753718,0.18960672400379727,0.1984403620931787
Total Uncertainty,Unlimited Time,0.1972618829857721,0.17920065828947404,0.18845867374474343,0.20629299609080523,0.21582927866482068
