parameter,condition,mean,q025,q17,q83,q975
Relative Reward,Limited Time,-0.022085695264670285,-0.05127986045528623,-0.03630839843117814,-0.00746076239177455,0.006340269074446892
Relative Reward,Unlimited Time,0.033492564276013326,0.004204613030230418,0.019192524763733988,0.04799618021269493,0.06346321063073038
Relative Uncertainty,Limited Time,0.014463202121958597,-0.013216349716361474,1.9823716964676862e-4,0.0288777821539311,0.04151733980857865
Relative Uncertainty,Unlimited Time,0.07336366274814582,0.04536368851066954,0.059681862549138875,0.08735177074040329,0.10305220173773527
Total Uncertainty,Limited Time,0.18266782328376183,0.16883340279363948,0.17558204719677348,0.18957395350309642,0.19692336607834066
Total Uncertainty,Unlimited Time,0.2173593694773753,0.20444846109624712,0.21060125275526156,0.22369281012531517,0.2307405756415066
