model_id,model_label,n_tasks,total_obs,top1_weighted,top1_unweighted,sum_elpd_loo,sum_elpd_waic,total_divergent,max_rhat_overall,rank_overall,comparison_scope_note
modelB_decay,Model B: Decay-RL + Stickiness,8,19360,0.6860537190082645,0.6882168612637363,-11694.271349192348,-11688.213107484618,0,1.018149459043582,1,Full 40-trial scope
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,8,19360,0.6910123966942149,0.6933653846153847,-11707.32273544104,-11703.829600225405,0,1.0470127349805027,2,Full 40-trial scope
modelC_hybrid,Model C: Hybrid RL + BMT features,8,19360,0.6897210743801653,0.692217548076923,-11713.445147488235,-11706.59977848276,0,1.0205820075768746,3,Full 40-trial scope
delta3_benchmark,Benchmark: Delta3,8,19360,0.6859504132231405,0.6880434409340659,-11735.17905144832,-11730.260097688297,0,1.0488829323959403,4,Full 40-trial scope
noisy_wsls_feedbackaware,Feedback-aware Noisy WSLS,8,18876,0.6528925619834711,0.6540838968723584,-11913.614166402162,-11913.286589076588,0,1.0060336665431684,5,Trials 2-40 only; not strictly identical observation scope to 40-trial models
old_original_benchmark,Benchmark: Old original,8,19360,0.6418904958677686,0.6439431662087912,-12366.451693872745,-12365.29137868212,0,1.0060961672241773,6,Full 40-trial scope
random_baseline,Baseline: Random p=0.5,8,19360,0.5,0.5,-13419.32941564054,-13419.32941564054,0,NA,7,Full 40-trial scope
