"Variable","Level","N","Mean_Repetition","SE_Repetition","Mean_Repetition_Percent","SE_Repetition_Percent"
"Time_Pressure","No",968,0.538498622589532,0.00705586982846784,53.8498622589532,0.705586982846784
"Time_Pressure","Yes",968,0.566402662993572,0.00697205720328284,56.6402662993572,0.697205720328284
"Choice_Frame","Accept",968,0.553500918273646,0.00698599877111679,55.3500918273646,0.698599877111679
"Choice_Frame","Reject",968,0.551400367309458,0.00707043308880826,55.1400367309458,0.707043308880826
"Feedback_Type","Full",1040,0.503568376068376,0.0062635384110438,50.3568376068376,0.62635384110438
"Feedback_Type","Partial",896,0.609188988095238,0.00746751141164913,60.9188988095238,0.746751141164913
