parameter,effect,contrast,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,posterior_tail_p
alpha,Feedback,Full - Partial,-1.030800807128364,-1.749161989317706,-0.2835907142897519,FALSE,Below 0,0.00425,0.0085
alpha,Time Pressure,TP - No TP,-0.30091320923337905,-0.910290446039417,0.31231985517266536,TRUE,Crosses 0,0.16675,0.3335
alpha,Choice Frame,Accept - Reject,0.7166972877438683,0.10812088671736877,1.3193712020232629,FALSE,Above 0,0.99175,0.01649999999999996
beta,Feedback,Full - Partial,-1.2278147514548208,-2.1091056544707105,-0.3457356322673547,FALSE,Below 0,0.004,0.008
beta,Time Pressure,TP - No TP,0.10283118704971607,-0.43651183041842934,0.6393894099608233,TRUE,Crosses 0,0.63825,0.7235
beta,Choice Frame,Accept - Reject,-0.032330984240513526,-0.5658147827143274,0.4936036058059427,TRUE,Crosses 0,0.45725,0.9145
gamma,Feedback,Full - Partial,-0.35150409854203735,-0.5439780207739655,-0.15640833066163118,FALSE,Below 0,2.5e-4,5e-4
gamma,Time Pressure,TP - No TP,0.14107103959235562,0.08177783102263032,0.19991120761738346,FALSE,Above 0,1,0
gamma,Choice Frame,Accept - Reject,-0.04583556237022881,-0.10910137795009268,0.013720575737320495,TRUE,Crosses 0,0.07325,0.1465
