task,trial,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
PartialtickNoTimelimited,1,0.5006830357142857,0.5,0.4107142857142857,0.5892857142857143
PartialtickNoTimelimited,2,0.5506473214285714,0.5535714285714286,0.4642857142857143,0.625
PartialtickNoTimelimited,3,0.6560357142857143,0.6607142857142857,0.5714285714285714,0.7321428571428571
PartialtickNoTimelimited,4,0.6044508928571428,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickNoTimelimited,5,0.6152008928571429,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,6,0.58953125,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,7,0.6653214285714286,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,8,0.6200089285714285,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,9,0.6295,0.625,0.5535714285714286,0.7142857142857143
PartialtickNoTimelimited,10,0.6514419642857143,0.6607142857142857,0.5714285714285714,0.7321428571428571
PartialtickNoTimelimited,11,0.5847991071428571,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,12,0.6513125,0.6607142857142857,0.5714285714285714,0.7321428571428571
PartialtickNoTimelimited,13,0.6213928571428572,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,14,0.6213794642857143,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,15,0.6394821428571429,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,16,0.6562633928571429,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,17,0.6726160714285714,0.6785714285714286,0.6071428571428571,0.75
PartialtickNoTimelimited,18,0.6045133928571429,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickNoTimelimited,19,0.64846875,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,20,0.64675,0.6428571428571429,0.5714285714285714,0.7321428571428571
PartialtickNoTimelimited,21,0.6420044642857143,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,22,0.6558571428571428,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,23,0.6617053571428572,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,24,0.6576160714285715,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,25,0.6834196428571429,0.6785714285714286,0.6071428571428571,0.75
PartialtickNoTimelimited,26,0.5891026785714286,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,27,0.6261696428571428,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,28,0.6252901785714285,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,29,0.605625,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickNoTimelimited,30,0.6290491071428571,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,31,0.6435446428571429,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,32,0.597125,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,33,0.6408392857142857,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,34,0.6581696428571429,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,35,0.6445848214285714,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,36,0.6445892857142858,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,37,0.6341160714285714,0.625,0.5535714285714286,0.7142857142857143
PartialtickNoTimelimited,38,0.6752723214285714,0.6785714285714286,0.6071428571428571,0.75
PartialtickNoTimelimited,39,0.6583125,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,40,0.6196071428571429,0.625,0.5535714285714286,0.6964285714285714
