task,trial,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
PartialtickTimelimited,1,0.49870535714285713,0.5,0.4107142857142857,0.5892857142857143
PartialtickTimelimited,2,0.5527901785714285,0.5535714285714286,0.48214285714285715,0.625
PartialtickTimelimited,3,0.6242008928571429,0.625,0.5535714285714286,0.6964285714285714
PartialtickTimelimited,4,0.6151919642857143,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialtickTimelimited,5,0.62496875,0.625,0.5535714285714286,0.6964285714285714
PartialtickTimelimited,6,0.6114642857142857,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialtickTimelimited,7,0.6125133928571429,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickTimelimited,8,0.6550580357142857,0.6607142857142857,0.5714285714285714,0.7321428571428571
PartialtickTimelimited,9,0.6083214285714286,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickTimelimited,10,0.6557946428571428,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickTimelimited,11,0.6493883928571429,0.6428571428571429,0.5714285714285714,0.7321428571428571
PartialtickTimelimited,12,0.6207589285714286,0.625,0.5535714285714286,0.6964285714285714
PartialtickTimelimited,13,0.5874866071428572,0.5892857142857143,0.5,0.6607142857142857
PartialtickTimelimited,14,0.6545982142857143,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickTimelimited,15,0.6048794642857143,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickTimelimited,16,0.6993571428571429,0.6964285714285714,0.625,0.7678571428571429
PartialtickTimelimited,17,0.66603125,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickTimelimited,18,0.6508035714285715,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickTimelimited,19,0.65721875,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickTimelimited,20,0.6357053571428571,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialtickTimelimited,21,0.7196696428571429,0.7142857142857143,0.6428571428571429,0.7857142857142857
PartialtickTimelimited,22,0.65609375,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickTimelimited,23,0.69384375,0.6964285714285714,0.625,0.7678571428571429
PartialtickTimelimited,24,0.6431339285714286,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickTimelimited,25,0.6634151785714286,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickTimelimited,26,0.6625535714285714,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickTimelimited,27,0.6112633928571428,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickTimelimited,28,0.6750178571428571,0.6785714285714286,0.6071428571428571,0.75
PartialtickTimelimited,29,0.6613794642857143,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickTimelimited,30,0.6793928571428571,0.6785714285714286,0.6071428571428571,0.75
PartialtickTimelimited,31,0.6914821428571428,0.6964285714285714,0.625,0.7678571428571429
PartialtickTimelimited,32,0.6652410714285715,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickTimelimited,33,0.7473526785714286,0.75,0.6785714285714286,0.8214285714285714
PartialtickTimelimited,34,0.6421160714285714,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickTimelimited,35,0.62996875,0.625,0.5535714285714286,0.6964285714285714
PartialtickTimelimited,36,0.6814285714285714,0.6785714285714286,0.6071428571428571,0.75
PartialtickTimelimited,37,0.6454151785714286,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickTimelimited,38,0.6330357142857143,0.625,0.5535714285714286,0.6964285714285714
PartialtickTimelimited,39,0.6793705357142857,0.6785714285714286,0.6071428571428571,0.75
PartialtickTimelimited,40,0.6728526785714286,0.6785714285714286,0.6071428571428571,0.75
