task,n_participants,n_trials,draws,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90,acc_prob_mean,log_loss,brier,iter,warmup,chains,elapsed_sec,n_divergent,n_max_treedepth,max_rhat,min_n_eff,feedback,time_pressure,frame
FullcrossNoTimelimited,65,40,4000,0.5637685576923077,0.5638461538461539,0.5511538461538461,0.5765384615384616,0.6519230769230769,0.6101142169900822,0.21168932310764974,2000,1000,4,3.1413509845733643,0,0,1.0059790573652134,2.010015200372384,Full,No TP,Reject
FullcrossTimelimited,65,40,4000,0.5634189423076923,0.5634615384615385,0.5507692307692308,0.5761538461538461,0.6476923076923077,0.6092214938926934,0.21191985397810742,2000,1000,4,2.2103939056396484,0,0,1.0108217244824418,2.0083308300670533,Full,TP,Reject
FulltickNoTimelimited,65,40,4000,0.56509125,0.565,0.5526923076923077,0.578076923076923,0.6642307692307692,0.607918449475039,0.21087085577486128,2000,1000,4,2.1840670108795166,0,0,1.0083351445453876,2.009705751998286,Full,No TP,Accept
FulltickTimelimited,65,40,4000,0.5812308653846154,0.5811538461538461,0.5684615384615385,0.5942307692307692,0.6776923076923077,0.5881672810148687,0.20269957011197895,2000,1000,4,2.231139898300171,0,0,1.0071413156988807,2.0103103441187082,Full,TP,Accept
PartialcrossNoTimelimited,56,40,4000,0.6128464285714286,0.6125,0.6,0.6258928571428571,0.7008928571428571,0.5482837256725634,0.1869487611488353,2000,1000,4,1.9143240451812744,0,0,1.008572957013357,2.0086643565324116,Partial,No TP,Reject
PartialcrossTimelimited,56,40,4000,0.597690625,0.5973214285714286,0.5839285714285715,0.6120535714285714,0.7138392857142857,0.5705277130183405,0.19390054826849287,2000,1000,4,1.9331488609313965,0,0,1.0488829323959403,2.0143244489931966,Partial,TP,Reject
PartialtickNoTimelimited,56,40,4000,0.6305449776785714,0.6308035714285715,0.6169642857142857,0.64375,0.7165178571428571,0.528100364817903,0.17822520256850863,2000,1000,4,1.882972002029419,0,0,1.0085932616712878,2.014249623648969,Partial,No TP,Accept
PartialtickTimelimited,56,40,4000,0.6459815848214285,0.6464285714285715,0.6330357142857143,0.6584821428571429,0.7388392857142857,0.5110636061453083,0.17077246537764626,2000,1000,4,1.8977770805358887,0,0,1.0082113341897605,2.015608737191707,Partial,TP,Accept
