task,trial,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
PartialcrossTimelimited,1,0.4991919642857143,0.5,0.4107142857142857,0.5892857142857143
PartialcrossTimelimited,2,0.5153125,0.5178571428571429,0.44642857142857145,0.5892857142857143
PartialcrossTimelimited,3,0.5618660714285715,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialcrossTimelimited,4,0.5565401785714286,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialcrossTimelimited,5,0.5359151785714286,0.5357142857142857,0.44642857142857145,0.6071428571428571
PartialcrossTimelimited,6,0.5785357142857143,0.5714285714285714,0.5,0.6607142857142857
PartialcrossTimelimited,7,0.5703526785714286,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossTimelimited,8,0.5761205357142857,0.5714285714285714,0.5,0.6607142857142857
PartialcrossTimelimited,9,0.6219955357142857,0.625,0.5357142857142857,0.6964285714285714
PartialcrossTimelimited,10,0.5728035714285714,0.5714285714285714,0.5,0.6428571428571429
PartialcrossTimelimited,11,0.6197142857142857,0.625,0.5357142857142857,0.6964285714285714
PartialcrossTimelimited,12,0.5550669642857143,0.5535714285714286,0.48214285714285715,0.625
PartialcrossTimelimited,13,0.6069285714285715,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossTimelimited,14,0.6073125,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossTimelimited,15,0.5733883928571428,0.5714285714285714,0.5,0.6428571428571429
PartialcrossTimelimited,16,0.5619017857142857,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossTimelimited,17,0.6299508928571429,0.625,0.5535714285714286,0.7142857142857143
PartialcrossTimelimited,18,0.62959375,0.625,0.5535714285714286,0.7142857142857143
PartialcrossTimelimited,19,0.6234241071428571,0.625,0.5357142857142857,0.6964285714285714
PartialcrossTimelimited,20,0.6145044642857143,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialcrossTimelimited,21,0.6208214285714285,0.625,0.5357142857142857,0.6964285714285714
PartialcrossTimelimited,22,0.6331339285714286,0.625,0.5535714285714286,0.7142857142857143
PartialcrossTimelimited,23,0.6318705357142858,0.625,0.5535714285714286,0.7142857142857143
PartialcrossTimelimited,24,0.6443392857142857,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialcrossTimelimited,25,0.6555044642857143,0.6607142857142857,0.5714285714285714,0.7321428571428571
PartialcrossTimelimited,26,0.6255089285714286,0.625,0.5535714285714286,0.6964285714285714
PartialcrossTimelimited,27,0.6086517857142857,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossTimelimited,28,0.6142410714285714,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialcrossTimelimited,29,0.5863348214285714,0.5892857142857143,0.5,0.6607142857142857
PartialcrossTimelimited,30,0.6017008928571429,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossTimelimited,31,0.6279196428571429,0.625,0.5535714285714286,0.6964285714285714
PartialcrossTimelimited,32,0.6238482142857142,0.625,0.5357142857142857,0.6964285714285714
PartialcrossTimelimited,33,0.6157946428571428,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialcrossTimelimited,34,0.60165625,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossTimelimited,35,0.5489866071428572,0.5535714285714286,0.4642857142857143,0.625
PartialcrossTimelimited,36,0.5929241071428571,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossTimelimited,37,0.6527723214285714,0.6607142857142857,0.5714285714285714,0.7321428571428571
PartialcrossTimelimited,38,0.572875,0.5714285714285714,0.5,0.6428571428571429
PartialcrossTimelimited,39,0.6246205357142857,0.625,0.5535714285714286,0.6964285714285714
PartialcrossTimelimited,40,0.6137008928571429,0.6071428571428571,0.5357142857142857,0.6964285714285714
