effect,contrast,parameter,n_draws,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,posterior_tail_p
Choice Frame,Accept - Reject,alpha,4000,0.7306780242701518,0.710870676522345,0.019807347747806816,-0.12404471169976317,0.1476432533737623,TRUE,Crosses 0,0.6245,0.751
Choice Frame,Accept - Reject,beta,4000,3.0985926250491707,1.8627483927069521,1.2358442323422185,0.25792488898641464,2.1704275716559613,FALSE,Above 0,0.9945,0.011
Choice Frame,Accept - Reject,gamma,4000,-0.0011707475364086208,0.1073017219922227,-0.10847246952863131,-0.23626078233157455,0.022277770563133098,TRUE,Crosses 0,0.0525,0.105
Feedback,Full - Partial,alpha,4000,0.7860299264794469,0.6555187743130501,0.13051115216639683,-0.017286162446964532,0.2615928923343471,TRUE,Crosses 0,0.9575,0.085
Feedback,Full - Partial,beta,4000,1.3203828959779529,3.64095812177817,-2.320575225800217,-3.2675286112843733,-1.4065227086668581,FALSE,Below 0,0,0
Feedback,Full - Partial,gamma,4000,0.01691873175863136,0.08921224269718271,-0.07229351093855135,-0.20689914629500322,0.06009619768011752,TRUE,Crosses 0,0.14625,0.2925
Time Pressure,TP - No TP,alpha,4000,0.691491376967451,0.7500573238250459,-0.05856594685759484,-0.1925637133956029,0.08672081993620316,TRUE,Crosses 0,0.20625,0.4125
Time Pressure,TP - No TP,beta,4000,2.602564434900282,2.358776582855841,0.24378785204444112,-0.7141099511797093,1.2501009136996892,TRUE,Crosses 0,0.68825,0.6235
Time Pressure,TP - No TP,gamma,4000,0.1311826400213287,-0.02505166556551464,0.15623430558684334,0.023208118938043386,0.2910287010920039,FALSE,Above 0,0.98875,0.0225
