task,delta_elpd_loo,delta_elpd_loo_se,loo_z,loo_support_delta3,delta_elpd_waic,delta_elpd_waic_se,waic_z,waic_support_delta3
FullcrossNoTimelimited,86.15520082649391,18.49560499408769,4.658144508062013,TRUE,86.47450186215201,18.478196732412307,4.679812814768255,TRUE
FullcrossTimelimited,57.90141691113831,19.197420609512655,3.0161039906812874,TRUE,58.271612780935584,19.18032026074438,3.038093837264951,TRUE
FulltickNoTimelimited,77.93423099295069,18.93502544378248,4.115876750434536,TRUE,78.29184593095442,18.921563065020628,4.137704990962863,TRUE
FulltickTimelimited,103.41439516770674,21.29780205460683,4.855636976179786,TRUE,103.8339816568132,21.277691996133008,4.879945704434668,TRUE
PartialcrossNoTimelimited,69.10549558730213,25.127413746566795,2.7502032753666956,TRUE,69.55487931109906,25.09037031364847,2.7721742820696083,TRUE
PartialcrossTimelimited,42.585856507304015,24.61274644349601,1.73023585990573,FALSE,43.12743354238455,24.579695784757337,1.7545959038731986,FALSE
PartialtickNoTimelimited,91.1272145267128,26.58152666445551,3.428215981611282,TRUE,91.72953578631086,26.535973655014175,3.4567993237729895,TRUE
PartialtickTimelimited,103.04883190481496,28.73122604658629,3.5866493040612424,TRUE,103.74749012317557,28.67783931797127,3.6176885215393866,TRUE
