task,n_obs,n_participants,n_trials,draws_delta3,draws_old,elpd_loo_delta3,elpd_loo_old,delta_elpd_loo_delta3_minus_old,delta_elpd_loo_se_approx,looic_delta3,looic_old,elpd_waic_delta3,elpd_waic_old,delta_elpd_waic_delta3_minus_old,delta_elpd_waic_se_approx,waic_delta3,waic_old,preferred_by_loo,preferred_by_waic
FullcrossNoTimelimited,2600,65,40,4000,6000,-1664.3222684690552,-1750.477469295549,86.15520082649391,18.49560499408769,3328.6445369381104,3500.954938591098,-1663.9093080066268,-1750.3838098687788,86.47450186215201,18.478196732412307,3327.8186160132536,3500.7676197375577,delta3,delta3
FullcrossTimelimited,2600,65,40,4000,6000,-1661.8547093441946,-1719.756126255333,57.90141691113831,19.197420609512655,3323.709418688389,3439.512252510666,-1661.3835744359549,-1719.6551872168905,58.271612780935584,19.18032026074438,3322.7671488719097,3439.310374433781,delta3,delta3
FulltickNoTimelimited,2600,65,40,4000,6000,-1660.5369336225442,-1738.471164615495,77.93423099295069,18.935025443782482,3321.0738672450884,3476.94232923099,-1660.0893567841347,-1738.381202715089,78.29184593095442,18.921563065020628,3320.1787135682694,3476.762405430178,delta3,delta3
FulltickTimelimited,2600,65,40,4000,6000,-1614.6180377354765,-1718.0324329031832,103.41439516770674,21.29780205460683,3229.236075470953,3436.0648658063665,-1614.091424703838,-1717.925406360651,103.8339816568132,21.277691996133008,3228.182849407676,3435.850812721302,delta3,delta3
PartialcrossNoTimelimited,2240,56,40,4000,6000,-1300.5218618088386,-1369.6273573961407,69.10549558730213,25.127413746566795,2601.043723617677,2739.2547147922814,-1299.8311398461503,-1369.3860191572494,69.55487931109906,25.090370313648474,2599.6622796923007,2738.772038314499,delta3,delta3
PartialcrossTimelimited,2240,56,40,4000,6000,-1355.7411625077016,-1398.3270190150056,42.585856507304015,24.61274644349601,2711.482325015403,2796.654038030011,-1355.019987868762,-1398.1474214111465,43.12743354238455,24.579695784757337,2710.039975737524,2796.294842822293,delta3,delta3
PartialtickNoTimelimited,2240,56,40,4000,6000,-1258.5353605858406,-1349.6625751125534,91.1272145267128,26.58152666445551,2517.0707211716813,2699.325150225107,-1257.7492963372124,-1349.4788321235233,91.72953578631086,26.535973655014175,2515.498592674425,2698.9576642470465,delta3,delta3
PartialtickTimelimited,2240,56,40,4000,6000,-1219.0487173746685,-1322.0975492794835,103.04883190481496,28.73122604658629,2438.097434749337,2644.195098558967,-1218.1860097056165,-1321.933499828792,103.74749012317557,28.67783931797127,2436.372019411233,2643.866999657584,delta3,delta3
