parameter,condition,mean,q025,q17,q83,q975
Relative Reward,Accept,0.207657640687877,0.0790461560372772,0.14235169230409433,0.27416978055839314,0.3448307670434961
Relative Reward,Reject,0.11656088410146397,-0.055181551079087406,0.03084672875528832,0.20058894088637996,0.28894228194398874
Relative Uncertainty,Accept,-0.012967584295667594,-0.13917088002033917,-0.07485313758569345,0.05130275109885101,0.11224060465697087
Relative Uncertainty,Reject,-0.06093253875724096,-0.2677750017482871,-0.15812335159945015,0.03762542437618297,0.1373557549156099
Total Uncertainty,Accept,0.024670904159269372,-0.04649287268220203,-0.011649440588004413,0.06025988608589147,0.09429971698230673
Total Uncertainty,Reject,0.16641533452619597,-0.03508701028829145,0.05870127395148983,0.26853293115578863,0.3832753406721856
