contrast,parameter,mean_diff,q025,q50,q975,pd,p_two_sided,excludes0_95
Full: TP-Limited minus Unlimited,Relative Reward,-0.23843577350723955,-1.1069519816334161,-0.25324536896528194,0.6910387596321133,0.71,0.58,False
Full: TP-Limited minus Unlimited,Relative Uncertainty,0.9207807676708959,-6.691791536889873,0.9495510642895141,8.152167359824832,0.6057142857142858,0.7885714285714286,False
Partial: TP-Limited minus Unlimited,Relative Reward,-0.11159503667418189,-0.34279936453391213,-0.11019527339893462,0.1105597858141218,0.8235714285714286,0.35285714285714287,False
Partial: TP-Limited minus Unlimited,Relative Uncertainty,-0.15609629266491273,-0.39241577721458615,-0.15563443766886897,0.07457677446349896,0.9007142857142857,0.19857142857142857,False
Partial: TP-Limited minus Unlimited,Total Uncertainty,0.06161373657303457,-0.07950825573104635,0.06288213381724335,0.19709132276302055,0.8092857142857143,0.38142857142857145,False
Full: Reject minus Accept,Relative Reward,-0.21363704147998833,-1.281394540833226,-0.20951319376931754,0.8737390626784475,0.635,0.73,False
Full: Reject minus Accept,Relative Uncertainty,1.77007235545842,-6.704235837788775,1.737631940085776,10.192801031020988,0.6514285714285715,0.6971428571428572,False
Partial: Reject minus Accept,Relative Reward,-0.09109675658641304,-0.31352468871394146,-0.0877103790852936,0.1355371022988391,0.7935714285714286,0.41285714285714287,False
Partial: Reject minus Accept,Relative Uncertainty,-0.04796495446157335,-0.27271791067468354,-0.047602399500501505,0.18743145641287637,0.6507142857142857,0.6985714285714286,False
Partial: Reject minus Accept,Total Uncertainty,0.14174443036692658,-0.06807073047471084,0.14540417554948887,0.367295207084075,0.8942857142857142,0.21142857142857144,False
