parameter,condition,mean,q025,q17,q83,q975
Relative Reward,Limited Time,0.10679922810201202,-0.06506037548153623,0.02424059917108285,0.19320651056924742,0.27947175030948845
Relative Reward,Unlimited Time,0.21839426477619392,0.0602410674249957,0.14386603352003088,0.2914379346644472,0.38116392056691556
Relative Uncertainty,Limited Time,-0.13224492679437627,-0.3116062719783677,-0.22030944229551708,-0.04137222450402425,0.039890242758720725
Relative Uncertainty,Unlimited Time,0.02385136587053652,-0.13124466944095442,-0.05163602411990583,0.09822959541954177,0.1706328848844304
Total Uncertainty,Limited Time,0.05396524031644554,-0.058603638888998784,0.004959663970994809,0.10653970792425191,0.16056695667924767
Total Uncertainty,Unlimited Time,-0.0076484962565890715,-0.09469507667285097,-0.05053351492921049,0.03643188433530663,0.08005418012823856
