task,parameter,draw_id,n_participants,pearson_r,spearman_rho,rmse,mean_true,mean_recovered,bias,error_hdi95_low,error_hdi95_high,hdi95_crosses_zero,n_divergent,max_rhat,min_n_eff
FullcrossNoTimelimited,alpha,2590,65,-0.041803412012305925,-0.06346153846153846,0.1363892121088516,0.8855862225864196,0.754331176225002,-0.13125504636141755,-0.1880631392887403,-0.06242975985020672,FALSE,0,1.1744509087130084,2.0246075763586586
FullcrossNoTimelimited,beta,2590,65,0.8709230732551434,0.6261363636363636,1.3331427543000105,2.3370562778349955,3.0139901218534972,0.6769338440185015,-1.5165450100102276,2.8354395985802716,TRUE,0,1.1744509087130084,2.0246075763586586
FullcrossNoTimelimited,gamma,2590,65,0.8422121326404942,0.8167395104895104,0.37097102531468057,0.037960879110327056,0.03603845620556243,-0.0019224229047646248,-0.5908301145738726,0.6826779542418984,TRUE,0,1.1744509087130084,2.0246075763586586
FullcrossNoTimelimited,eta_decay,2590,65,0.2656241760276233,0.19750874125874127,0.1031055838795618,0.07797230335930722,0.18074560133675988,0.10277329797745266,0.08942148829378287,0.11951630466327966,FALSE,0,1.1744509087130084,2.0246075763586586
FullcrossTimelimited,alpha,448,65,0.1996831622075285,0.14423076923076922,0.15763335906692075,0.6799439717153658,0.6073330520454012,-0.0726109196699645,-0.2773073744450524,0.22791605769965903,TRUE,0,1.1546470858424434,2.0249635512211492
FullcrossTimelimited,beta,448,65,0.6759758012890005,0.6010052447552447,2.082605679590242,2.731984687946338,3.493370075885591,0.7613853879392528,-2.7487947931396794,4.499961977092401,TRUE,0,1.1546470858424434,2.0249635512211492
FullcrossTimelimited,gamma,448,65,0.8707679193174986,0.8663024475524476,0.3313672433266893,0.09746415561571975,0.09857320577537214,0.0011090501596523828,-0.6553496886544894,0.5717361894319416,TRUE,0,1.1546470858424434,2.0249635512211492
FullcrossTimelimited,eta_decay,448,65,0.15179787970597133,0.18221153846153845,0.03140589797896368,0.1887787857463679,0.1584187271444637,-0.030360058601904202,-0.045095030050093354,-0.014958912380783068,FALSE,0,1.1546470858424434,2.0249635512211492
FulltickNoTimelimited,alpha,557,65,0.11824350508290464,0.053409090909090906,0.19287818638824344,0.7285970907051059,0.6135038430827743,-0.11509324762233165,-0.3155123207300936,0.2479272184381518,TRUE,0,1.172902884898017,2.026004099814042
FulltickNoTimelimited,beta,557,65,0.8083350778264142,0.6646853146853147,2.0632934146730415,2.6483961324315155,3.868843048159073,1.220446915727558,-2.245152330769262,4.085883574271523,TRUE,0,1.172902884898017,2.026004099814042
FulltickNoTimelimited,gamma,557,65,0.8443297534851658,0.8114510489510489,0.34936465230335106,-0.1271085933514528,-0.18709709594714655,-0.05998850259569373,-0.7050316063110668,0.6279280018820257,TRUE,0,1.172902884898017,2.026004099814042
FulltickNoTimelimited,eta_decay,557,65,0.03904216776744694,-4.3706293706293706e-4,0.044289380073522476,0.10409978583755167,0.1468349086956358,0.04273512285808415,0.01955340100940244,0.06639982565516139,FALSE,0,1.172902884898017,2.026004099814042
FulltickTimelimited,alpha,2202,65,0.2968223014301641,0.22202797202797203,0.11201765566056292,0.7919079402663519,0.7358311355142461,-0.056076804752105844,-0.19269901923035226,0.21603059881438785,TRUE,0,1.1744279617067903,2.022408856238448
