parameter,mean_pearson_r,min_pearson_r,mean_spearman_rho,mean_rmse,mean_abs_bias,tasks_hdi_cross_zero,n_tasks
alpha,0.2876526870119451,-0.041803412012305925,0.25089113189442136,0.18519622966957885,0.1008056344151088,7,8
beta,0.7014155899726404,0.42627624628040844,0.6507081323281981,5.616193181143139,2.198776082037917,8,8
eta_decay,0.21684994176527927,0.03904216776744694,0.20409257683106366,0.12810722720550885,0.09462101009443523,4,8
gamma,0.8317856832933949,0.7815307837515608,0.8037820321126242,0.35682883927150616,0.04351400582691018,8,8
