parameter,mean,hdi95_low,hdi95_high,crosses_zero,p_tail
mu_win_stay,0.6298616813577421,0.4644927225615746,0.7939361703265873,FALSE,5e-4
mu_lose_shift,0.09894874742668054,-0.03371793437140273,0.23737864643235465,TRUE,0.142
feedback_win_stay,-0.4433819226351128,-0.745731409851802,-0.1346487648394646,FALSE,0.012
tp_win_stay,0.10659642942779483,-0.10903542390648314,0.3128907581131924,TRUE,0.2325
frame_win_stay,0.1508969200033628,-0.07072555109916753,0.35896090344177084,TRUE,0.115
feedback_lose_shift,0.4044333320266625,0.13334602335110882,0.6758012979594836,FALSE,0.008
tp_lose_shift,-0.1562641456371838,-0.306627998844725,0.016144225673478108,TRUE,0.0605
frame_lose_shift,0.12057105049224606,-0.054403879272416515,0.2725243548874598,TRUE,0.1175
