model,feedback,contrast,mean,q025,q50,q975,p_gt0,p_lt0,posterior_tail_p,hdi95_crosses_zero
Hierarchical_RT,Full,TP_at_Reject,-1.083026319584125,-1.1951540835200865,-1.082732211907062,-0.9723608920197299,0,1,0,FALSE
Hierarchical_RT,Full,TP_at_Accept,-1.2429133280308273,-1.3530842614221161,-1.2442551348886413,-1.1346276188182098,0,1,0,FALSE
Hierarchical_RT,Full,Frame_at_NoTP,0.06773503988177097,-0.013362068730932236,0.0666963630941746,0.14984701540224762,0.9525,0.0475,0.095,TRUE
Hierarchical_RT,Full,Frame_at_TP,-0.09215196856493152,-0.17148940874324325,-0.09153040130495826,-0.007362112723936334,0.015,0.985,0.03,FALSE
Hierarchical_RT,Full,TPxFrame_Interaction,-0.15988700844670248,-0.21136263983314368,-0.16000514342555158,-0.10730414059960809,0,1,0,FALSE
Hierarchical_RT,Partial,TP_at_Reject,-1.0253205515451806,-1.1434243735611689,-1.0243441562049316,-0.915112504987479,0,1,0,FALSE
Hierarchical_RT,Partial,TP_at_Accept,-1.114133185413357,-1.234838933200931,-1.1126413296523174,-0.9982951213024831,0,1,0,FALSE
Hierarchical_RT,Partial,Frame_at_NoTP,0.06230753374308205,-0.018634128287850455,0.062373003459908816,0.14477318126492464,0.9441666666666667,0.05583333333333333,0.11166666666666666,TRUE
Hierarchical_RT,Partial,Frame_at_TP,-0.02650510012509428,-0.11010947430158469,-0.025547263731493262,0.05558007394217041,0.27666666666666667,0.7233333333333334,0.5533333333333333,TRUE
Hierarchical_RT,Partial,TPxFrame_Interaction,-0.08881263386817634,-0.1453265891134565,-0.08878912302888226,-0.0354013508316601,8.333333333333334e-4,0.9991666666666666,0.0016666666666666668,FALSE
