task,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
FullcrossTimelimited,mu_log_beta0,-0.45567505581496853,0.01651973384978092,0.37827172540967424,-1.2310602792911354,-0.7036395378709644,-0.4523360878422883,-0.1955387613323228,0.2543715035794933,524.3263317374478,1.0055280225043874
FullcrossTimelimited,mu_beta_slope,0.7411013718534909,0.01295472530961876,0.3534986229638445,0.0314687617170145,0.5062329253723156,0.7509660893130934,0.9808533354605753,1.4233005048183267,744.5931479417408,0.999123605883655
FullcrossTimelimited,mu_gamma,0.038719272394572554,0.005828819431106676,0.09241149419633549,-0.1376446734992491,-0.02774383375037243,0.038923133631442466,0.10097315407270951,0.2138522709047711,251.35688256086235,1.0054800046629384
FullcrossTimelimited,mu_bias,0.06477891196420439,6.821817881866243e-4,0.02401693405746334,0.016016370654001712,0.048989015202270315,0.06476951613021856,0.08033675193251892,0.11185507690135145,1239.4667734002205,0.9984729488489805
FullcrossTimelimited,mu_alpha_pos_logit,1.0838773066032834,0.032057394603887956,0.5473753688144744,0.09056465328390484,0.7138878495220246,1.0409705579768562,1.4063954768191451,2.270074210563513,291.55067782536986,1.0088981808919664
FullcrossTimelimited,mu_alpha_neg_logit,0.9944111877255143,0.03862700659578081,0.5616579528053813,-0.036068736231645894,0.6392131691495637,0.9582540236853228,1.3489787258883763,2.1687194562363206,211.4276184312951,1.0041222547999642
FullcrossTimelimited,sigma_log_beta0,1.2160349694762014,0.012481927413152877,0.2398180824915614,0.7635380579378203,1.056949705585313,1.2047103522803377,1.3729661204520924,1.7104023421062562,369.148023117281,1.003608640931085
FullcrossTimelimited,sigma_beta_slope,0.5297380378196067,0.016520502542586003,0.31254754603198054,0.024045694746266392,0.2805968860636446,0.5185478056241819,0.7483533816615597,1.1601167062630375,357.9197624493779,1.0004883025549571
FullcrossTimelimited,sigma_gamma,0.6295337799837002,0.013542304134823609,0.11234770776774616,0.42244182083043563,0.5454114438940798,0.6341142193726157,0.7028808787979798,0.8515580487103975,68.8245381668283,1.023495650970422
FullcrossTimelimited,sigma_bias,0.039883565217369576,0.0012976311968089316,0.03056724327906691,0.0016428135337427418,0.015440888297265469,0.032205730018179946,0.05845605604988183,0.11081310536838931,554.893951425005,1.003602003374911
FullcrossTimelimited,sigma_alpha_pos,0.8844255471707294,0.07216384560318967,0.5744539902884161,0.04308242657837715,0.38008539392609686,0.8467125487219531,1.3261087077993265,2.0636722838010164,63.36816975157411,1.0334354435916517
FullcrossTimelimited,sigma_alpha_neg,0.7755132378024404,0.058663477853793604,0.560025441595503,0.021559476060092127,0.28062254871125275,0.6735483975169819,1.2025233548585537,1.922199501363704,91.13388855191776,1.0075911629330616
