task,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
PartialcrossNoTimelimited,mu_log_beta0,1.0093477693014692,0.012325119824443636,0.2538795426430812,0.49248840786305836,0.8565304779514762,1.0289410815599185,1.1870373935239742,1.4447323834830241,424.3000805472034,1.0015271435637603
PartialcrossNoTimelimited,mu_beta_slope,-0.31899027161758275,0.007492473991367705,0.2302243465603217,-0.8129688711139119,-0.46562749667115144,-0.31692935823830365,-0.16329230129936345,0.12403761352761401,944.1739411346606,0.9986395749413965
PartialcrossNoTimelimited,mu_gamma,0.008450159331015644,0.004896611636915449,0.09895637102698075,-0.17297436428793328,-0.05990208237906388,0.007310300241119428,0.07638143205830905,0.20731709535300294,408.40984248412985,1.00346646431696
PartialcrossNoTimelimited,mu_bias,0.001770271374778308,0.0011877223793400314,0.03700817706546589,-0.06879219827340685,-0.023124893556002307,0.001469796063880988,0.025398305197496203,0.07605576122936696,970.8798940365051,0.9983644864360025
PartialcrossNoTimelimited,mu_alpha_pos_logit,1.7561668976285727,0.020802074962369403,0.5759879389736037,0.7512246274621532,1.3521609935328112,1.7118366745621434,2.097771716180376,3.0654226100764803,766.6788184789227,0.9984723505494111
PartialcrossNoTimelimited,mu_alpha_neg_logit,0.9395053025427318,0.010815573195969139,0.33077481603803904,0.34492287217755196,0.696453237189015,0.9192054296017842,1.1525707924915867,1.6571477852447918,935.3319970920704,0.998660568719551
PartialcrossNoTimelimited,sigma_log_beta0,1.254297166641269,0.009044698741091919,0.19468030818735488,0.8888752211169083,1.1189521359357273,1.2412257184923723,1.3707995138215492,1.6675510212052453,463.29310631827224,1.0048607458234837
PartialcrossNoTimelimited,sigma_beta_slope,0.3488378993900447,0.01228155964172677,0.22040437397091125,0.021074260992739156,0.16978732063763208,0.32297520673651703,0.5006446485495696,0.8318018623314085,322.05746834804563,1.0019335264282556
PartialcrossNoTimelimited,sigma_gamma,0.5651675343236406,0.0035264036760362613,0.08434391133782962,0.4068524063209849,0.507592691404847,0.5626782802623829,0.6173212419370468,0.7417566598900178,572.0624251003887,1.002280683965406
PartialcrossNoTimelimited,sigma_bias,0.150103626887533,0.002902786086191911,0.05066363620196096,0.041766756075685675,0.11848816312002088,0.1501336963851147,0.18289328115175651,0.24800999398571338,304.622969644483,1.006820783681933
PartialcrossNoTimelimited,sigma_alpha_pos,0.537831473407743,0.02544779761531058,0.45729555429467683,0.021320424409781272,0.1911110519534686,0.4247648165456569,0.7436328678361507,1.8022264700367125,322.91896676851485,1.000075403627212
PartialcrossNoTimelimited,sigma_alpha_neg,0.6066290775325885,0.022895719635550236,0.3530993639769468,0.03912792490332332,0.33255883288858634,0.5915398634174069,0.8554797963522827,1.3633536669003399,237.8402067885944,1.007407678343548
