task,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
PartialtickNoTimelimited,mu_log_beta0,1.6726145120133287,0.006620258682854145,0.17894957602350703,1.2922761635185218,1.5562461225058262,1.6876599483950816,1.7950294862890879,1.995395572066871,730.6534316636413,0.9987709820990076
PartialtickNoTimelimited,mu_beta_slope,-0.0034157490462436626,0.006032500119083468,0.1990889473542414,-0.3871898186810174,-0.14449419676520228,0.0023396058206610814,0.12646735706979265,0.38901228914299135,1089.1799106201906,0.9994317186286056
PartialtickNoTimelimited,mu_gamma,-0.1244583067391405,0.004355740017203949,0.1123595540151483,-0.344111962318363,-0.200871468940738,-0.12074320078022056,-0.04755465927100696,0.09887560394067135,665.4204037852143,1.0046492091303243
PartialtickNoTimelimited,mu_bias,0.029326826078228292,0.0013088892229817,0.04241772021118968,-0.0509115882984549,-4.571833803780387e-4,0.027974816249728612,0.057560432172118425,0.11565150632976132,1050.2407437207653,1.0007749014238663
PartialtickNoTimelimited,mu_alpha_pos_logit,0.5367066731152291,0.013574597234034513,0.4236330825880456,-0.23503698330283584,0.23915007517625936,0.5175558882365694,0.8067403536211146,1.3831913315708626,973.9257096406905,1.0006395532517594
PartialtickNoTimelimited,mu_alpha_neg_logit,0.6301823762017859,0.00989659683813739,0.26241668802595164,0.1668809716848626,0.45293764130798003,0.6064925917698563,0.777360423717955,1.1924811532527704,703.0903588563071,1.0049367525174584
PartialtickNoTimelimited,sigma_log_beta0,0.5965924354025461,0.008119442195560678,0.14744901760566703,0.3046316360705314,0.5033348065770931,0.5952933466946357,0.6943575006771017,0.8815256582593455,329.78536441504514,1.000622835041713
PartialtickNoTimelimited,sigma_beta_slope,0.32627473165006265,0.013467881363799237,0.2096775466640688,0.017365852375398325,0.15283528422098497,0.29575065502461895,0.4786341576874493,0.7871929412462819,242.38474816503384,1.0024381405657359
PartialtickNoTimelimited,sigma_gamma,0.6177026780561657,0.00478759347848312,0.1028899849099692,0.4329796100775821,0.5415576440922094,0.6116719477342414,0.6833057033033668,0.838848933203247,461.8614063198265,0.9995023020785103
PartialtickNoTimelimited,sigma_bias,0.09869698392830968,0.0054561913508464266,0.06204279792750612,0.003947236033461159,0.048596261749433184,0.09443785434046091,0.14424644298986217,0.2231165166657157,129.30150030435087,1.0231448253218403
PartialtickNoTimelimited,sigma_alpha_pos,1.6084848713173983,0.011675402633812068,0.36104039262312304,0.9532935154929207,1.3592020207755175,1.5943596126679263,1.853215910630247,2.3489814571756407,956.2420834867054,0.9986752935880645
PartialtickNoTimelimited,sigma_alpha_neg,0.439269867167451,0.021705721513522937,0.32816682501873917,0.016754359223777895,0.16871896567945285,0.3764426507984956,0.6289349008600389,1.1941590122894032,228.58140472029933,0.9999445848672902
