task,status,note,elapsed_sec
FullcrossTimelimited,success,,260.0204668045044
FulltickNoTimelimited,success,,164.79280996322632
PartialcrossNoTimelimited,success,,117.09998106956482
PartialtickNoTimelimited,success,,157.0075399875641
