task,n_participants,n_trials,draws,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90,acc_prob_mean,acc_prob_draw_median,acc_prob_draw_lo10,acc_prob_draw_hi90,log_loss,brier,iter,warmup,chains,elapsed_sec,n_divergent,n_max_treedepth,max_rhat,min_n_eff
FullcrossTimelimited,65,40,1200,0.5693368589743589,0.5696153846153846,0.5565384615384615,0.5815384615384616,0.6530769230769231,0.6353846153846154,0.6269230769230769,0.6430769230769231,0.5995193458639928,0.20823707194357224,1200,600,2,260.0204668045044,0,0,1.0435253488477596,42.59550131049122
FulltickNoTimelimited,65,40,1200,0.5671695512820513,0.5673076923076923,0.5542307692307692,0.58,0.6711538461538461,0.6434615384615384,0.6338461538461538,0.6526923076923077,0.6023443294060175,0.20853907363370658,1200,600,2,164.79280996322632,2,0,1.0268721187476701,37.17236143344665
PartialcrossNoTimelimited,56,40,1200,0.6223787202380953,0.6227678571428571,0.6093303571428571,0.6353125000000001,0.7191964285714286,0.7022321428571429,0.6919642857142857,0.7107142857142857,0.5312793617762366,0.17985273064616694,1200,600,2,117.09998106956482,0,0,1.0138489650658549,237.8402067885944
PartialtickNoTimelimited,56,40,1200,0.6429386160714285,0.6428571428571429,0.6294642857142857,0.65625,0.7428571428571429,0.7258928571428571,0.7178571428571429,0.7339285714285714,0.5076355572821387,0.16934331379039413,1200,600,2,157.0075399875641,0,0,1.0231448253218403,129.30150030435087
