task,trial,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
PartialtickNoTimelimited,1,0.5032440476190476,0.5,0.4107142857142857,0.5892857142857143
PartialtickNoTimelimited,2,0.5722619047619047,0.5714285714285714,0.5,0.6428571428571429
PartialtickNoTimelimited,3,0.6580952380952381,0.6607142857142857,0.5714285714285714,0.7321428571428571
PartialtickNoTimelimited,4,0.6026488095238095,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickNoTimelimited,5,0.6132142857142857,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,6,0.6039434523809524,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickNoTimelimited,7,0.6909077380952381,0.6964285714285714,0.625,0.7678571428571429
PartialtickNoTimelimited,8,0.6299107142857143,0.625,0.5535714285714286,0.7142857142857143
PartialtickNoTimelimited,9,0.6188839285714286,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,10,0.6601785714285714,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,11,0.5966815476190476,0.6071428571428571,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,12,0.67,0.6785714285714286,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,13,0.6360714285714286,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialtickNoTimelimited,14,0.6311607142857143,0.625,0.5535714285714286,0.6982142857142881
PartialtickNoTimelimited,15,0.6448511904761904,0.6428571428571429,0.5714285714285714,0.7321428571428571
PartialtickNoTimelimited,16,0.663764880952381,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,17,0.6942410714285714,0.6964285714285714,0.625,0.7678571428571429
PartialtickNoTimelimited,18,0.6204761904761905,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,19,0.6610714285714285,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,20,0.6594940476190476,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,21,0.6642857142857143,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,22,0.6714136904761905,0.6785714285714286,0.5892857142857143,0.75
PartialtickNoTimelimited,23,0.6760714285714285,0.6785714285714286,0.6071428571428571,0.75
PartialtickNoTimelimited,24,0.6603869047619048,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,25,0.6984077380952382,0.6964285714285714,0.625,0.7678571428571429
PartialtickNoTimelimited,26,0.6076636904761905,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickNoTimelimited,27,0.6258630952380952,0.625,0.5535714285714286,0.6982142857142881
PartialtickNoTimelimited,28,0.6445238095238095,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,29,0.6219940476190476,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,30,0.6469494047619048,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,31,0.6585267857142857,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialtickNoTimelimited,32,0.617202380952381,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,33,0.6516220238095238,0.6607142857142857,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,34,0.682485119047619,0.6785714285714286,0.6071428571428571,0.75
PartialtickNoTimelimited,35,0.6486607142857143,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,36,0.6544047619047619,0.6607142857142857,0.5875000000000001,0.7321428571428571
PartialtickNoTimelimited,37,0.6415178571428571,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialtickNoTimelimited,38,0.6941517857142857,0.6964285714285714,0.625,0.7678571428571429
PartialtickNoTimelimited,39,0.6741220238095238,0.6785714285714286,0.6071428571428571,0.75
PartialtickNoTimelimited,40,0.6461904761904762,0.6428571428571429,0.5714285714285714,0.7142857142857143
