task,model,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
FulltickNoTimelimited,B3_five_parameter_bias_lapse,mu_alpha,0.7722721972026643,0.009745285977799039,0.45331521040681994,-0.14310268680782565,0.4690918679491868,0.7735117268984866,1.0666336849483353,1.625763087029559,2163.7715525259337,0.9997467257580007
FulltickNoTimelimited,B3_five_parameter_bias_lapse,mu_beta,-6.054623933029288e-4,0.00876643417740066,0.48015737478465864,-0.9852943635227794,-0.3124490609585038,-0.006627138801999875,0.30214412826555925,0.9735095332036205,3000,0.9994213916003079
FulltickNoTimelimited,B3_five_parameter_bias_lapse,mu_gamma,-0.05974645759510509,0.003665470496922477,0.08500079195658898,-0.22366190346918613,-0.12101470499847242,-0.060061827158684175,-0.0014207655491291467,0.11037893099535306,537.7575142645799,1.0016587568664483
FulltickNoTimelimited,B3_five_parameter_bias_lapse,mu_bias,0.022771751892534196,5.083174513622128e-4,0.024036968973288123,-0.026147808512711476,0.0062109908202092985,0.023897287614300114,0.03979455687200986,0.07017350198394554,2236.090444707333,0.9983137415057316
FulltickNoTimelimited,B3_five_parameter_bias_lapse,mu_lapse_logit,-2.343774919094772,0.025841858926145732,0.9628692129609805,-4.2791690614895055,-2.980107900103643,-2.339177809253134,-1.6842922320310716,-0.523328012527779,1388.312067919803,0.998900412776244
FulltickNoTimelimited,B3_five_parameter_bias_lapse,sigma_alpha,0.4200935190960922,0.009281663753180127,0.30201186743387853,0.020384182147303566,0.17687934970161873,0.3607578838246285,0.6117741343975569,1.1538233839951049,1058.7571471832887,0.9985919587401646
FulltickNoTimelimited,B3_five_parameter_bias_lapse,sigma_beta,0.39579451850243264,0.008471107943480436,0.30427262833722407,0.014190955389215887,0.15674314966739034,0.33511923046935366,0.572263404220019,1.132290080946584,1290.1652505655559,0.9983500496755098
FulltickNoTimelimited,B3_five_parameter_bias_lapse,sigma_gamma,0.5935914806217931,0.0032699060325630212,0.08389892599044096,0.44432917707320657,0.5365460943972161,0.5884157056259971,0.6491621091348433,0.7693818932671156,658.3278951448555,0.998953851803872
FulltickNoTimelimited,B3_five_parameter_bias_lapse,sigma_bias,0.05306071331949589,0.0018128643183291156,0.03427171341090711,0.002458699925897887,0.025154271434362004,0.04867985801099711,0.07658096747457799,0.12426318818616554,357.3888778207127,1.003403103740907
FulltickNoTimelimited,B3_five_parameter_bias_lapse,sigma_lapse,0.43028067855676644,0.01008197939511649,0.33576485338511997,0.020989988113414654,0.16225598823889206,0.35698975769539165,0.6175761440226023,1.2564363617536844,1109.120817138258,1.0034063061129757
