task,model,participant_id,participant_index,acc_mean,acc_median,acc_lo10,acc_hi90
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,40,0.513425,0.525,0.4,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h26.14.343.csv,41,0.502275,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h27.00.499.csv,42,0.5567,0.55,0.45,0.65
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h14.34.965.csv,43,0.512125,0.5,0.4,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h27.58.986.csv,44,0.545425,0.55,0.45,0.65
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.32.569.csv,45,0.5011,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.59.786.csv,46,0.51425,0.5,0.425,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h13.11.612.csv,47,0.51335,0.525,0.425,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h27.22.142.csv,48,0.501425,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h50.44.307.csv,49,0.5698,0.575,0.475,0.675
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_16h07.06.683.csv,50,0.504,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.21.731.csv,51,0.512975,0.525,0.425,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.27.260.csv,52,0.5207,0.525,0.425,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h46.04.96.csv,53,0.504225,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_13h54.35.383.csv,54,0.503575,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.35.682.csv,55,0.499,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.55.458.csv,56,0.506225,0.5,0.4,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.00.325.csv,57,0.516375,0.525,0.425,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.04.211.csv,58,0.5242,0.525,0.425,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h52.03.786.csv,59,0.574275,0.575,0.475,0.675
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.02.548.csv,60,0.525375,0.525,0.425,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.12.614.csv,61,0.60825,0.6,0.5225000000000002,0.7
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.23.649.csv,62,0.523975,0.525,0.425,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.51.955.csv,63,0.5385,0.55,0.425,0.65
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_17h32.04.772.csv,64,0.4975,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-03_16h10.01.36.csv,65,0.648275,0.65,0.5475000000000002,0.75
