task,draws,n_participants,n_trials,acc_prob_mean,acc_prob_draw_median,acc_prob_draw_lo10,acc_prob_draw_hi90
FullcrossTimelimited,1000,65,40,0.6126923076923076,0.5980769230769231,0.59,0.6042307692307692
FulltickNoTimelimited,1000,65,40,0.6157692307692307,0.6007692307692307,0.5926923076923077,0.6073076923076923
PartialcrossNoTimelimited,1000,56,40,0.6642857142857143,0.6571428571428571,0.6491071428571429,0.6629464285714286
PartialtickNoTimelimited,1000,56,40,0.6705357142857142,0.6540178571428571,0.6446428571428572,0.6611607142857143
