task,model,participant_id,participant_index,acc_mean,acc_median,acc_lo10,acc_hi90
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.02.619.csv,26,0.52965,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.58.522.csv,27,0.5021,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.38.296.csv,28,0.53205,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.43.724.csv,29,0.499125,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h16.18.617.csv,30,0.51485,0.525,0.4,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h51.56.59.csv,31,0.51865000000000006,0.525,0.4,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h56.52.788.csv,32,0.4953,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.23.995.csv,33,0.574175,0.575,0.475,0.675
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.31.848.csv,34,0.50425,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.39.464.csv,35,0.530975,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h35.04.300.csv,36,0.504775,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h39.13.99.csv,37,0.52145,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h24.57.802.csv,38,0.52055,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.01.906.csv,39,0.501625,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,40,0.51185,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h26.14.343.csv,41,0.50315,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h27.00.499.csv,42,0.559825,0.575,0.45,0.65
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h14.34.965.csv,43,0.50915,0.5,0.4,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h27.58.986.csv,44,0.54805,0.55,0.45,0.65
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.32.569.csv,45,0.503375,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.59.786.csv,46,0.514475,0.525,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h13.11.612.csv,47,0.513,0.5,0.425,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h27.22.142.csv,48,0.499525,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h50.44.307.csv,49,0.567575,0.575,0.475,0.675
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_16h07.06.683.csv,50,0.50445,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.21.731.csv,51,0.51055,0.5,0.4,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.27.260.csv,52,0.516175,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h46.04.96.csv,53,0.4999,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_13h54.35.383.csv,54,0.5015,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.35.682.csv,55,0.499025,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.55.458.csv,56,0.507375,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.00.325.csv,57,0.516025,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.04.211.csv,58,0.517475,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h52.03.786.csv,59,0.5732,0.575,0.475,0.675
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.02.548.csv,60,0.521175,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.12.614.csv,61,0.60045,0.6,0.5,0.7
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.23.649.csv,62,0.525675,0.525,0.425,0.625
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.51.955.csv,63,0.542975,0.55,0.45,0.65
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_17h32.04.772.csv,64,0.504575,0.5,0.4,0.6
FulltickNoTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-12-03_16h10.01.36.csv,65,0.653725,0.65,0.55,0.75
