task,model,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,mu_alpha,1.8560132064634778,0.014076010643045634,0.36676060402401406,1.0802352936152044,1.6209758715699754,1.8645169596404796,2.1063272774886572,2.547358755708192,678.9005891137788,0.998379926524155
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,mu_beta,1.1661814865280682,0.011639502013686602,0.3035807371353685,0.5536914946373118,0.973846780666835,1.1722287763667651,1.3630591921541282,1.7513299423192579,680.2673431232422,1.0019009206303517
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,mu_gamma,0.20426397611354866,0.005513120888654326,0.1006275422675957,0.019156737866860715,0.13326145338933817,0.19906158719918404,0.2688903951054952,0.4119186181166556,333.1491427352721,1.0131491034310705
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,mu_bias,-0.08022207557999309,0.0026382229157008615,0.04940730781720497,-0.17196135962215087,-0.11358513740108792,-0.08012167686120053,-0.04492374590678568,0.011349239744934767,350.7190882053829,1.001062964829805
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,mu_lapse_logit,-3.2325331492840133,0.0193351485146162,0.7171591584420229,-4.655827958960404,-3.6961364195923725,-3.19184021133728,-2.730213099424696,-1.8803196943417029,1375.7390769717795,1.0003645628103721
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,sigma_alpha,0.59293856012891,0.0263289382176655,0.390577408572574,0.018785326396680374,0.28233951865755946,0.5471684396330969,0.8604718122549884,1.453282655486175,220.06326309622747,1.0161898664919848
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,sigma_beta,0.4534179774481897,0.01784545550623549,0.3126895644685794,0.016832291412087336,0.19936715407043462,0.4146234202105401,0.6383405380529409,1.1953351403819887,307.0234160580822,1.0050132339971363
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,sigma_gamma,0.613269203130308,0.0055195347747025785,0.09948396023081638,0.443154967045662,0.5442851980359505,0.605041878197713,0.6738602501288902,0.8336470084716088,324.86369726683375,1.0017777213339516
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,sigma_bias,0.3092288786657677,0.0031963337326787397,0.05619999774190143,0.21381173419831076,0.2694248630359948,0.3057653642091799,0.34227416288709434,0.4314977171428455,309.1493657952793,0.9999611673656076
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,sigma_lapse,0.3819536293314908,0.008713816606096048,0.2848015362005578,0.019054937968801748,0.15704577164758124,0.32999383889528355,0.543793948890125,1.060402687831843,1068.2375114660151,1.0025432472060658
