task,model,participant_id,participant_index,acc_mean,acc_median,acc_lo10,acc_hi90
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,1,0.533375,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,2,0.52495,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,3,0.529325,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,4,0.87125,0.875,0.775,0.95
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,5,0.535625,0.525,0.45,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,6,0.5009,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,7,0.51355,0.525,0.4,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,8,0.502125,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,9,0.51975,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,10,0.504825,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,11,0.866975,0.875,0.775,0.95
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,12,0.501775,0.5,0.4,0.6
