task,model,trial,acc_mean,acc_median,acc_lo10,acc_hi90
FulltickNoTimelimited,B2_regret_4parameter,1,0.4981692307692308,0.49230769230769234,0.4153846153846154,0.5692307692307692
FulltickNoTimelimited,B2_regret_4parameter,2,0.5545846153846153,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,B2_regret_4parameter,3,0.5422153846153847,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,4,0.5250615384615385,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,5,0.5301692307692307,0.5384615384615384,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,6,0.5530307692307692,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,B2_regret_4parameter,7,0.5626,0.5692307692307692,0.49230769230769234,0.6307692307692307
FulltickNoTimelimited,B2_regret_4parameter,8,0.5259846153846154,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,9,0.5468923076923077,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,B2_regret_4parameter,10,0.5572615384615385,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,B2_regret_4parameter,11,0.5396307692307692,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,12,0.5332307692307693,0.5384615384615384,0.46153846153846156,0.6
FulltickNoTimelimited,B2_regret_4parameter,13,0.5236615384615385,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,14,0.5469076923076923,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,B2_regret_4parameter,15,0.5280923076923077,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,16,0.5319384615384616,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,17,0.5376153846153846,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,18,0.5320153846153847,0.5384615384615384,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,19,0.5365384615384615,0.5384615384615384,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,20,0.5325846153846154,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,21,0.5503692307692307,0.5538461538461539,0.47692307692307695,0.6307692307692307
FulltickNoTimelimited,B2_regret_4parameter,22,0.5168461538461538,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,23,0.5618461538461539,0.5692307692307692,0.49230769230769234,0.6307692307692307
FulltickNoTimelimited,B2_regret_4parameter,24,0.5373692307692308,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,25,0.5272769230769231,0.5230769230769231,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,26,0.5388615384615385,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,27,0.5195076923076923,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,28,0.5430153846153846,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,29,0.5175692307692308,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,30,0.5443846153846154,0.5384615384615384,0.46153846153846156,0.6307692307692307
FulltickNoTimelimited,B2_regret_4parameter,31,0.5131846153846154,0.5076923076923077,0.4307692307692308,0.5846153846153846
FulltickNoTimelimited,B2_regret_4parameter,32,0.5281230769230769,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,33,0.5014923076923077,0.5076923076923077,0.4153846153846154,0.5846153846153846
FulltickNoTimelimited,B2_regret_4parameter,34,0.5223076923076924,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,35,0.512,0.5230769230769231,0.4307692307692308,0.5846153846153846
FulltickNoTimelimited,B2_regret_4parameter,36,0.5309076923076923,0.5230769230769231,0.4461538461538462,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,37,0.5282923076923077,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,38,0.5380923076923076,0.5384615384615384,0.46153846153846156,0.6153846153846154
FulltickNoTimelimited,B2_regret_4parameter,39,0.5266461538461539,0.5230769230769231,0.4461538461538462,0.6
FulltickNoTimelimited,B2_regret_4parameter,40,0.5361846153846154,0.5384615384615384,0.46153846153846156,0.6153846153846154
