task,model,participant_id,participant_index,acc_mean,acc_median,acc_lo10,acc_hi90
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h24.57.802.csv,38,0.524825,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.01.906.csv,39,0.50145,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,40,0.5407,0.55,0.45,0.65
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h26.14.343.csv,41,0.57225,0.575,0.475,0.675
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h27.00.499.csv,42,0.57205,0.575,0.475,0.675
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h14.34.965.csv,43,0.5359,0.525,0.45,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h27.58.986.csv,44,0.643375,0.65,0.55,0.75
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.32.569.csv,45,0.5006,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.59.786.csv,46,0.53005,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h13.11.612.csv,47,0.513975,0.525,0.425,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h27.22.142.csv,48,0.52245,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h50.44.307.csv,49,0.5116,0.5,0.4,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_16h07.06.683.csv,50,0.492325,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.21.731.csv,51,0.5279,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.27.260.csv,52,0.50305,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h46.04.96.csv,53,0.513725,0.525,0.4,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_13h54.35.383.csv,54,0.5098,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.35.682.csv,55,0.507475,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.55.458.csv,56,0.51415,0.525,0.4,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.00.325.csv,57,0.50005,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.04.211.csv,58,0.50745,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h52.03.786.csv,59,0.49925,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.02.548.csv,60,0.52015,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.12.614.csv,61,0.5128,0.525,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.23.649.csv,62,0.507325,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.51.955.csv,63,0.531525,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-01_17h32.04.772.csv,64,0.529525,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-12-03_16h10.01.36.csv,65,0.50575,0.5,0.4,0.6
