contrast,component,label,estimate,std_error,statistic,p_value,conf_low,conf_high,ci_crosses_zero
Feedback,Value slope (V_risky),Partial,0.5060296388305966,0.07792433057258358,6.493859300584546,8.366489040497366e-11,0.3532979509083328,0.6587613267528604,FALSE
Feedback,Relative uncertainty slope (RU_risky),Partial,0.44196699322046595,0.06570283526281491,6.726756789909811,1.7348635188764258e-11,0.3131894361053488,0.5707445503355831,FALSE
Feedback,Value / total uncertainty slope (VTU_risky),Partial,-0.030513793113677377,0.04211871080179426,-0.7244712037192147,0.4687764997663196,-0.11306646628519412,0.052038880057839375,TRUE
Feedback,Value slope (V_risky),Full,0.3105535384304857,0.11652008068829028,2.6652362116128785,0.0076934262773999335,0.08217418028143678,0.5389328965795347,FALSE
Feedback,Relative uncertainty slope (RU_risky),Full,-7.443138564293564,2.4255432293965065,-3.068648076062315,0.0021502973401617315,-12.197203293910718,-2.689073834676411,FALSE
Feedback,Value / total uncertainty slope (VTU_risky),Full,-0.01109194902122776,0.051000974381393054,-0.21748504133039645,0.8278303633132023,-0.11105385880875815,0.08886996076630263,TRUE
Time Pressure,Value slope (V_risky),NoTP,0.5060296388305966,0.07792433057258358,6.493859300584546,8.366489040497366e-11,0.3532979509083328,0.6587613267528604,FALSE
Time Pressure,Relative uncertainty slope (RU_risky),NoTP,0.44196699322046595,0.06570283526281491,6.726756789909811,1.7348635188764258e-11,0.3131894361053488,0.5707445503355831,FALSE
Time Pressure,Value / total uncertainty slope (VTU_risky),NoTP,-0.030513793113677377,0.04211871080179426,-0.7244712037192147,0.4687764997663196,-0.11306646628519412,0.052038880057839375,TRUE
Time Pressure,Value slope (V_risky),TP,0.36526135434912177,0.07690393204398518,4.749579698216349,2.038398529873655e-6,0.21452964754291082,0.5159930611553327,FALSE
Time Pressure,Relative uncertainty slope (RU_risky),TP,0.35225667864151405,0.06660958201188977,5.2883784585022084,1.2340544511210395e-7,0.2217018978982101,0.482811459384818,FALSE
Time Pressure,Value / total uncertainty slope (VTU_risky),TP,0.01575258594607383,0.04105169186048383,0.38372562084919076,0.7011818210061138,-0.06470873010047448,0.09621390199262214,TRUE
Choice Frame,Value slope (V_risky),Reject,0.5060296388305966,0.07792433057258358,6.493859300584546,8.366489040497366e-11,0.3532979509083328,0.6587613267528604,FALSE
Choice Frame,Relative uncertainty slope (RU_risky),Reject,0.44196699322046595,0.06570283526281491,6.726756789909811,1.7348635188764258e-11,0.3131894361053488,0.5707445503355831,FALSE
Choice Frame,Value / total uncertainty slope (VTU_risky),Reject,-0.030513793113677377,0.04211871080179426,-0.7244712037192147,0.4687764997663196,-0.11306646628519412,0.052038880057839375,TRUE
Choice Frame,Value slope (V_risky),Accept,0.5738511630708869,0.07422911801088888,7.73080939728675,1.0686492579374129e-14,0.4283620917695447,0.719340234372229,FALSE
Choice Frame,Relative uncertainty slope (RU_risky),Accept,0.455816124061184,0.06287292819755275,7.249799510354698,4.173890021669369e-13,0.3325851847939806,0.5790470633283874,FALSE
Choice Frame,Value / total uncertainty slope (VTU_risky),Accept,-0.0038247424242536174,0.03974736584732325,-0.09622631192580504,0.9233408338822554,-0.0817295794850072,0.07408009463649995,TRUE
