task,n_obs,top1_conditional,top1_fixed,mean_pred_prob_conditional,mean_pred_prob_fixed,mean_observed_risky_choice
FullcrossNoTimelimited,2600,0.5565384615384615,0.5261538461538462,0.5160599680717605,0.5161265854791077,0.5092307692307693
FullcrossTimelimited,2600,0.5496153846153846,0.5253846153846153,0.525855537306189,0.5265297466264374,0.5080769230769231
FulltickNoTimelimited,2600,0.5561538461538461,0.5307692307692308,0.4979900035426225,0.4970537984079735,0.5138461538461538
FulltickTimelimited,2600,0.5442307692307692,0.5215384615384615,0.5056937868185525,0.5065587224407175,0.5142307692307693
PartialcrossNoTimelimited,2240,0.6419642857142858,0.6151785714285715,0.41097321460584646,0.4113876241578033,0.4125
PartialcrossTimelimited,2240,0.5892857142857143,0.5410714285714285,0.43592509331389734,0.4450978192180623,0.4642857142857143
PartialtickNoTimelimited,2240,0.653125,0.6379464285714286,0.38917635340102524,0.4012021877100504,0.37901785714285713
PartialtickTimelimited,2240,0.6705357142857142,0.6446428571428572,0.37737857821541165,0.3972986402534749,0.3625
