model,AIC,BIC,logLik,nobs,delta_AIC,delta_BIC
V_risky + RU_risky + VTU_risky,25967.80350968798,26015.029295852964,-12977.90175484399,19360,0,0
V_risky + RU_risky,26020.602187098284,26052.086044541607,-13006.301093549142,19360,52.79867741030466,37.05674868864298
VTU_risky only,26211.512918863016,26227.254847584678,-13103.756459431508,19360,243.70940917503685,212.2255517317135
V_risky only,26410.702024335194,26426.443953056856,-13203.351012167597,19360,442.89851464721505,411.4146572038917
