model_id,model_label,n_tasks,total_obs,top1_weighted,top1_unweighted,note
risky_uncertainty_glmm_conditional,Risky-choice uncertainty GLMM (conditional),8,19360,0.5919421487603306,0.5951811469780219,In-sample accuracy including participant random effects; optimistic.
risky_uncertainty_glmm_fixed,Risky-choice uncertainty GLMM (fixed effects only),8,19360,0.5647210743801653,0.5678356799450549,In-sample accuracy using fixed effects only; more conservative.
