task,trial,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
PartialcrossNoTimelimited,1,0.49941964285714285,0.5,0.4107142857142857,0.5892857142857143
PartialcrossNoTimelimited,2,0.5834970238095238,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,3,0.5552529761904762,0.5535714285714286,0.4642857142857143,0.6428571428571429
PartialcrossNoTimelimited,4,0.5845089285714286,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,5,0.5871726190476191,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,6,0.5825744047619048,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,7,0.6011309523809524,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,8,0.6055208333333333,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,9,0.5904761904761905,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,10,0.6310863095238095,0.625,0.5535714285714286,0.6964285714285714
PartialcrossNoTimelimited,11,0.6304910714285714,0.625,0.5535714285714286,0.7142857142857143
PartialcrossNoTimelimited,12,0.6052827380952381,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,13,0.5951488095238096,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,14,0.645967261904762,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialcrossNoTimelimited,15,0.6022767857142857,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,16,0.6248214285714285,0.625,0.5535714285714286,0.6964285714285714
PartialcrossNoTimelimited,17,0.6374553571428572,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialcrossNoTimelimited,18,0.6543005952380953,0.6607142857142857,0.5714285714285714,0.7321428571428571
PartialcrossNoTimelimited,19,0.6538392857142857,0.6607142857142857,0.5714285714285714,0.7321428571428571
PartialcrossNoTimelimited,20,0.6590029761904762,0.6607142857142857,0.5892857142857143,0.7321428571428571
PartialcrossNoTimelimited,21,0.6413095238095238,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialcrossNoTimelimited,22,0.6385267857142857,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialcrossNoTimelimited,23,0.6613095238095238,0.6607142857142857,0.5892857142857143,0.7339285714285738
PartialcrossNoTimelimited,24,0.64595238095238094,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialcrossNoTimelimited,25,0.6443898809523809,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialcrossNoTimelimited,26,0.6116964285714286,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,27,0.6175297619047619,0.625,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,28,0.6089583333333334,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,29,0.6143452380952381,0.625,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,30,0.6353869047619047,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialcrossNoTimelimited,31,0.6348065476190476,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialcrossNoTimelimited,32,0.5992708333333333,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,33,0.6042410714285714,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,34,0.6355059523809524,0.6428571428571429,0.5714285714285714,0.7142857142857143
PartialcrossNoTimelimited,35,0.6025892857142857,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,36,0.5990178571428572,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,37,0.5875595238095238,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,38,0.5875297619047619,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,39,0.6059375,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,40,0.6076339285714286,0.6071428571428571,0.5357142857142857,0.6785714285714286
