parameter,mean,hdi95_low,hdi95_high,crosses_zero,p_tail
mu_win_stay,0.52345180783863,0.378017824238223,0.6665180401224592,FALSE,0
mu_lose_shift,-0.003565982309240838,-0.13821236112570945,0.1274987281000715,TRUE,0.951
feedback_win_stay,-0.6374510434993759,-0.9210316334755287,-0.3244681685624727,FALSE,0.0025
tp_win_stay,0.13196107105141552,-0.060490407117197595,0.3229827052362518,TRUE,0.1205
frame_win_stay,0.11880757615392906,-0.08150868076086427,0.29553832963646126,TRUE,0.1535
feedback_lose_shift,0.2149730324450402,-0.04793136594440046,0.45824713316266374,TRUE,0.096
tp_lose_shift,-0.09681374598875574,-0.27393998377044837,0.08219318722869669,TRUE,0.2095
frame_lose_shift,0.09885257687138616,-0.07332945721749119,0.27774817517388667,TRUE,0.1965
