quantity,raw_param,mean_var_raw,mean_var_eff,mean_var_eff_over_raw,median_var_eff_over_raw
alpha,alpha_a,0.6000381197375414,0.009638506193263617,0.015399743399915764,0.010783090869833343
beta,beta_a,0.510877650610475,0.5292416779814807,1.0052754599473195,0.7472072553186209
gamma,gamma_a,0.1272399894752384,0.0029486402445644167,0.023217881498492986,0.022084953475648116
