task,pair,participant_index,correlation
FullcrossNoTimelimited,beta_a vs beta_b,9,-0.7351020476096662
FullcrossNoTimelimited,beta_a vs beta_b,10,-0.9109709856055702
FullcrossNoTimelimited,beta_a vs beta_b,11,-0.6153597070505512
FullcrossNoTimelimited,beta_a vs beta_b,12,-0.6270441940960273
FullcrossNoTimelimited,beta_a vs beta_b,13,-0.6374098037352536
FullcrossNoTimelimited,beta_a vs beta_b,14,-0.6124788603473991
FullcrossNoTimelimited,beta_a vs beta_b,15,-0.6201157935554665
FullcrossNoTimelimited,beta_a vs beta_b,16,-0.6128447249929145
FullcrossNoTimelimited,beta_a vs beta_b,17,-0.6002698598237631
FullcrossNoTimelimited,beta_a vs beta_b,18,-0.6137193445457185
FullcrossNoTimelimited,beta_a vs beta_b,19,-0.6308392929116344
FullcrossNoTimelimited,beta_a vs beta_b,20,-0.5962039054425902
FullcrossNoTimelimited,beta_a vs beta_b,21,-0.6547779672404109
FullcrossNoTimelimited,beta_a vs beta_b,22,-0.6056472852842388
FullcrossNoTimelimited,beta_a vs beta_b,23,-0.612089570594618
FullcrossNoTimelimited,beta_a vs beta_b,24,-0.6260465033870724
FullcrossNoTimelimited,beta_a vs beta_b,25,-0.5888725261807394
FullcrossNoTimelimited,beta_a vs beta_b,26,-0.6258580978316761
FullcrossNoTimelimited,beta_a vs beta_b,27,-0.6748982498987122
FullcrossNoTimelimited,beta_a vs beta_b,28,-0.9646661350014728
FullcrossNoTimelimited,beta_a vs beta_b,29,-0.6743145396584846
FullcrossNoTimelimited,beta_a vs beta_b,30,-0.6284922510932963
FullcrossNoTimelimited,beta_a vs beta_b,31,-0.6222285670137915
FullcrossNoTimelimited,beta_a vs beta_b,32,-0.8497007138253369
FullcrossNoTimelimited,beta_a vs beta_b,33,-0.7923529575371845
FullcrossNoTimelimited,beta_a vs beta_b,34,-0.6396110447926789
FullcrossNoTimelimited,beta_a vs beta_b,35,-0.6349083311606836
FullcrossNoTimelimited,beta_a vs beta_b,36,-0.6208893788059033
