effect,contrast,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,posterior_tail_p
Feedback,Full - Partial,-0.1534561264484014,2.3005475289108124,-2.4540036553592137,-12.087661498385108,8.111077058273676,TRUE,Crosses 0,0.3795,0.759
Time Pressure,TP - No TP,-0.03318368897876631,1.99774589393512,-2.030929582913886,-9.704618489199646,10.5555930015916,TRUE,Crosses 0,0.5485,0.903
Choice Frame,Accept - Reject,1.3671232713123247,0.5974389336440288,0.7696843376682959,-9.773610101015203,11.034678572459148,TRUE,Crosses 0,0.44875,0.8975
