changed_factor,parameter,contrast_label,pair_count,diff_mean_avg,diff_hdi95_lo_avg,diff_hdi95_hi_avg,all_pairs_cross_zero,any_pair_cross_zero
Choice Frame,alpha,Accept - Reject,4,0.7166972877438683,0.10812088671736834,1.3193712020232629,FALSE,FALSE
Choice Frame,beta,Accept - Reject,4,-0.03233098424051352,-0.5658147827143272,0.49360360580594276,TRUE,TRUE
Choice Frame,gamma,Accept - Reject,4,-0.04583556237022881,-0.10910137795009267,0.013720575737320509,TRUE,TRUE
Feedback,alpha,Full - Partial,4,-1.030800807128364,-1.749161989317706,-0.283590714289752,FALSE,FALSE
Feedback,beta,Full - Partial,4,-1.2278147514548208,-2.109105654470711,-0.34573563226735504,FALSE,FALSE
Feedback,gamma,Full - Partial,4,-0.35150409854203735,-0.5439780207739655,-0.15640833066163118,FALSE,FALSE
Time Pressure,alpha,TP - No TP,4,-0.30091320923337905,-0.9102904460394171,0.3123198551726652,TRUE,TRUE
Time Pressure,beta,TP - No TP,4,0.10283118704971607,-0.43651183041842934,0.6393894099608234,TRUE,TRUE
Time Pressure,gamma,TP - No TP,4,0.14107103959235562,0.08177783102263032,0.19991120761738346,FALSE,FALSE
