alpha_threshold,effect,contrast,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,p_gt0,posterior_tail_p
0.05,Feedback,Full - Partial,0.7831018990607761,1.060638719604717,-0.2775368205439407,-1.0712514570693787,0.5532668001149007,TRUE,Crosses 0,0.23325,0.4665
0.05,Full: Time Pressure,TP - No TP,0.81330197110595,0.7528780862118689,0.06042388489408123,-0.9146648881173727,0.9347872459040533,TRUE,Crosses 0,0.5885,0.823
0.05,Partial: Time Pressure,TP - No TP,1.1166119463190174,1.0047354722942532,0.11187647402476435,-0.7435924683322178,0.8574123169034175,TRUE,Crosses 0,0.66925,0.6615
0.05,Full: Choice Frame,Accept - Reject,0.765560310563779,0.800638601376652,-0.035078290812872864,-1.0235559105366312,1.1259294052344868,TRUE,Crosses 0,0.4405,0.881
0.05,Partial: Choice Frame,Accept - Reject,0.9559853309821498,1.1655030173126149,-0.209517686330465,-1.0400147119159722,0.8226628276851201,TRUE,Crosses 0,0.2755,0.551
