trial,top1_accuracy
1,0.6071428571428571
2,0.7321428571428571
3,0.6964285714285714
4,0.8571428571428571
5,0.8035714285714286
6,0.8392857142857143
7,0.7678571428571429
8,0.875
9,0.8928571428571429
10,0.75
11,0.8214285714285714
12,0.7678571428571429
13,0.8035714285714286
14,0.75
15,0.8571428571428571
16,0.9107142857142857
17,0.9285714285714286
18,0.8571428571428571
19,0.7678571428571429
20,0.8035714285714286
21,0.8571428571428571
22,0.8214285714285714
23,0.875
24,0.8392857142857143
25,0.875
26,0.7678571428571429
27,0.7857142857142857
28,0.8214285714285714
29,0.8214285714285714
30,0.8214285714285714
31,0.8214285714285714
32,0.8571428571428571
33,0.8928571428571429
34,0.7857142857142857
35,0.9107142857142857
36,0.8571428571428571
37,0.875
38,0.8928571428571429
39,0.8928571428571429
40,0.9464285714285714
