trial,top1_accuracy
1,0.5892857142857143
2,0.5178571428571429
3,0.7321428571428571
4,0.7142857142857143
5,0.625
6,0.6428571428571429
7,0.7142857142857143
8,0.6785714285714286
9,0.8392857142857143
10,0.6607142857142857
11,0.8035714285714286
12,0.6071428571428571
13,0.7321428571428571
14,0.7142857142857143
15,0.6964285714285714
16,0.5535714285714286
17,0.7857142857142857
18,0.7678571428571429
19,0.8214285714285714
20,0.7142857142857143
21,0.7142857142857143
22,0.7857142857142857
23,0.7321428571428571
24,0.8035714285714286
25,0.8392857142857143
26,0.8214285714285714
27,0.75
28,0.7678571428571429
29,0.6428571428571429
30,0.7321428571428571
31,0.7678571428571429
32,0.7857142857142857
33,0.6964285714285714
34,0.75
35,0.6428571428571429
36,0.6607142857142857
37,0.8035714285714286
38,0.5714285714285714
39,0.8214285714285714
40,0.7321428571428571
