participant_index,top1_accuracy
1,0.575
2,0.675
3,0.725
4,0.8
5,0.75
6,0.875
7,0.45
8,0.925
9,0.725
10,0.625
11,0.925
12,0.975
13,0.65
14,0.825
15,0.75
16,0.85
17,0.675
18,0.65
19,0.675
20,0.725
21,0.75
22,0.85
23,0.925
24,0.775
25,0.65
26,0.675
27,0.65
28,0.725
29,0.65
30,0.825
31,0.575
32,0.725
33,0.525
34,0.575
35,0.95
36,0.675
37,0.7
38,0.75
39,0.8
40,0.525
41,0.625
42,1
43,0.825
44,0.575
45,0.775
46,0.65
47,0.725
48,0.875
49,0.95
50,0.625
51,0.625
52,0.775
53,0.75
54,0.85
55,0.825
56,0.9
