task,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
FullcrossTimelimited,mu_log_beta0,-0.492949237811653,0.021178130200728285,0.3753862226325662,-1.2653201332429407,-0.7490734848358472,-0.48334478196642283,-0.2339782036711654,0.20620538037378594,314.1820943501315,1.003392929017615
FullcrossTimelimited,mu_beta_slope,0.7637461777059111,0.013016868141850923,0.35612486421459333,0.0412047498970399,0.5370439974545317,0.7717719582308212,0.998114227137942,1.474910750510133,748.499616554576,1.0004967520276573
FullcrossTimelimited,mu_gamma,0.042880588962469796,0.00475581867304498,0.0933314330742559,-0.1379648286683289,-0.019435035002848218,0.040821738492618914,0.10580121771392927,0.227219550614366,385.12817633289427,1.0017481100721473
FullcrossTimelimited,mu_bias,0.063078373109730565,6.641304956687108e-4,0.022708388366340634,0.02037548391521609,0.047812359381143844,0.06290831926403694,0.07851503595543424,0.11053765749992692,1169.1380114994113,0.9991751276753941
FullcrossTimelimited,mu_alpha_pos_logit,1.1246929360380706,0.03574933212015982,0.5542442208244892,0.20839516314233722,0.7368837454860473,1.0631190621526416,1.472827190538451,2.3390274615382864,240.36237221003978,1.0053419465181581
FullcrossTimelimited,mu_alpha_neg_logit,1.0015279538987307,0.03796075893076446,0.5773500900357549,-0.030945881546835283,0.6196246637283008,0.9699569099661595,1.3300629771733137,2.2715920104421823,231.3176133682854,1.0085789685477204
FullcrossTimelimited,sigma_log_beta0,1.2092304364056765,0.0118062261018349,0.23403352803450533,0.7939904791028629,1.0453257961279154,1.1904239228860223,1.361781199753834,1.7011920290572966,392.9469904600464,1.0005026564745656
FullcrossTimelimited,sigma_beta_slope,0.5045601299905922,0.017385981523573325,0.3133714059315674,0.030366230779346134,0.24577633578133007,0.48509537405621883,0.7227673334987674,1.1458966458487212,324.87800126640127,0.9999507877874959
FullcrossTimelimited,sigma_gamma,0.6339463538213892,0.011382388468070001,0.10338019422272045,0.43592011587501156,0.563566176529726,0.6348438349232548,0.7042220484145649,0.8381602746075925,82.49124922507262,1.0131145258378995
FullcrossTimelimited,sigma_bias,0.0387984245668343,0.0011826882508644203,0.028324295089995705,0.0011687849246907831,0.01635989024865727,0.034032435778618586,0.05655981097720825,0.10216761966436005,573.5584148235062,1.0030933505366073
FullcrossTimelimited,sigma_alpha_pos,0.8350459996614287,0.0658162780688602,0.5798682184322929,0.04217498655516317,0.34072230531493675,0.7550017643221497,1.284206544637419,2.014933474109017,77.62327724049103,1.0286931974940237
FullcrossTimelimited,sigma_alpha_neg,0.7704387521801048,0.07036230979941126,0.5562799363291618,0.02575689034729997,0.29134547205692685,0.6812348772153144,1.1732746366593445,1.9741121132953428,62.50382813564181,1.0539076043803266
