trial,top1_accuracy
1,0.6615384615384615
2,0.7076923076923077
3,0.6153846153846154
4,0.6461538461538462
5,0.6307692307692307
6,0.6923076923076923
7,0.7076923076923077
8,0.5692307692307692
9,0.6615384615384615
10,0.8
11,0.6923076923076923
12,0.7230769230769231
13,0.6615384615384615
14,0.6923076923076923
15,0.6923076923076923
16,0.7076923076923077
17,0.7692307692307693
18,0.6923076923076923
19,0.7230769230769231
20,0.6615384615384615
21,0.6461538461538462
22,0.5846153846153846
23,0.7692307692307693
24,0.7230769230769231
25,0.6923076923076923
26,0.6923076923076923
27,0.6615384615384615
28,0.676923076923077
29,0.6153846153846154
30,0.6923076923076923
31,0.6153846153846154
32,0.7846153846153846
33,0.5230769230769231
34,0.6461538461538462
35,0.5846153846153846
36,0.6923076923076923
37,0.6307692307692307
38,0.6461538461538462
39,0.6307692307692307
40,0.5846153846153846
