trial,top1_accuracy
1,0.6964285714285714
2,0.5892857142857143
3,0.7142857142857143
4,0.7678571428571429
5,0.7678571428571429
6,0.7321428571428571
7,0.6964285714285714
8,0.8035714285714286
9,0.75
10,0.8214285714285714
11,0.75
12,0.6964285714285714
13,0.5714285714285714
14,0.7678571428571429
15,0.6607142857142857
16,0.8214285714285714
17,0.75
18,0.7142857142857143
19,0.6785714285714286
20,0.7142857142857143
21,0.8571428571428571
22,0.7857142857142857
23,0.8214285714285714
24,0.7321428571428571
25,0.6785714285714286
26,0.7857142857142857
27,0.6785714285714286
28,0.8214285714285714
29,0.7678571428571429
30,0.7857142857142857
31,0.875
32,0.7678571428571429
33,0.9107142857142857
34,0.75
35,0.6785714285714286
36,0.8035714285714286
37,0.6785714285714286
38,0.6964285714285714
39,0.8035714285714286
40,0.8214285714285714
