trial,top1_accuracy
1,0.6071428571428571
2,0.6964285714285714
3,0.6428571428571429
4,0.7321428571428571
5,0.7142857142857143
6,0.6071428571428571
7,0.6607142857142857
8,0.7142857142857143
9,0.7321428571428571
10,0.7142857142857143
11,0.6785714285714286
12,0.6607142857142857
13,0.625
14,0.8214285714285714
15,0.6964285714285714
16,0.75
17,0.7857142857142857
18,0.7678571428571429
19,0.875
20,0.8392857142857143
21,0.7321428571428571
22,0.8035714285714286
23,0.8214285714285714
24,0.75
25,0.7142857142857143
26,0.75
27,0.7321428571428571
28,0.6964285714285714
29,0.6964285714285714
30,0.8214285714285714
31,0.6964285714285714
32,0.6607142857142857
33,0.6785714285714286
34,0.7857142857142857
35,0.7142857142857143
36,0.7321428571428571
37,0.6964285714285714
38,0.6071428571428571
39,0.6964285714285714
40,0.75
